row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc_1,Nhà cửa và vật kiến trúc_2,Nhà cửa và vật kiến trúc_3,Nhà cửa và vật kiến trúc_4,Nhà cửa và vật kiến trúc_5,numeric__Nhà cửa và vật kiến trúc,numeric__Nhà cửa và vật kiến trúc_1,numeric__Nhà cửa và vật kiến trúc_2,numeric__Nhà cửa và vật kiến trúc_3,numeric__Nhà cửa và vật kiến trúc_4,numeric__Nhà cửa và vật kiến trúc_5
,,,Triệu VND,Máy móc thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Các tài sản cố định hữu hình khác,Tổng cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.249,289.248,215.859,90.711,11.268,625.335,18249.0,289248.0,215859.0,90711.0,11268.0,625335.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,49.833,59.885,3.453,1.500,114.671,,49833.0,59885.0,3453.0,1500.0,114671.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(122),(238),(180),(3.734),-,(4.274),-122.0,-238.0,-180.0,-3734.0,,-4274.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.127,338.843,275.564,90.430,12.768,735.732,18127.0,338843.0,275564.0,90430.0,12768.0,735732.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.539,174.301,155.254,72.037,9.259,414.390,3539.0,174301.0,155254.0,72037.0,9259.0,414390.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,836,21.038,13.134,7.100,635,42.743,836.0,21038.0,13134.0,7100.0,635.0,42743.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(122),(238),(113),(3.708),-,(4.181),-122.0,-238.0,-113.0,-3708.0,,-4181.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.253,195.101,168.275,75.429,9.894,452.952,4253.0,195101.0,168275.0,75429.0,9894.0,452952.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,14.710,114.947,60.605,18.674,2.009,210.945,14710.0,114947.0,60605.0,18674.0,2009.0,210945.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.874,143.742,107.289,15.001,2.874,282.780,13874.0,143742.0,107289.0,15001.0,2874.0,282780.0
