row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.241.579,899.740,472.157,135.941,2.749.417,1241579.0,899740.0,472157.0,135941.0,2749417.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,33.977,139.035,66.900,9.753,249.665,33977.0,139035.0,66900.0,9753.0,249665.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(2.801),(9.869),(836),(13.506),,-2801.0,-9869.0,-836.0,-13506.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(124),7.109,-,(7.401),(416),-124.0,7109.0,,-7401.0,-416.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,182,354,112,-,648,182.0,354.0,112.0,,648.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.275.614,1.043.437,529.300,137.457,2.985.808,1275614.0,1043437.0,529300.0,137457.0,2985808.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,139.659,747.901,360.540,124.943,1.373.043,139659.0,747901.0,360540.0,124943.0,1373043.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,53.479,97.970,55.074,3.937,210.460,53479.0,97970.0,55074.0,3937.0,210460.0
Giảm khấu hao trong năm,Giá trị hao mòn luỹ kế > Giảm khấu hao trong năm,Giảm khấu hao trong năm,-,(2.757),(8.197),(837),(11.791),,-2757.0,-8197.0,-837.0,-11791.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,26,234,88,-,348,26.0,234.0,88.0,,348.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,193.164,843.348,407.505,128.043,1.572.060,193164.0,843348.0,407505.0,128043.0,1572060.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.101.920,151.839,111.617,10.998,1.376.374,1101920.0,151839.0,111617.0,10998.0,1376374.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.082.450,200.089,121.795,9.414,1.413.748,1082450.0,200089.0,121795.0,9414.0,1413748.0
