row_label_raw,row_label_full,col_0,Năm 2019 triệu đồng,Năm 2018 triệu đồng,numeric__Năm 2019 triệu đồng,numeric__Năm 2018 triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27.840.992,23.026.534,27840992.0,23026534.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,919.584,665.979,919584.0,665979.0
Thu nhập lãi cho vay,Thu nhập lãi cho vay,Thu nhập lãi cho vay,20.067.445,16.881.245,20067445.0,16881245.0
Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,5.167.968,3.785.864,5167968.0,3785864.0
Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,1.298.771,1.200.018,1298771.0,1200018.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,387.224,493.428,387224.0,493428.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(13.151.460),(10.254.229),-13151460.0,-10254229.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(10.975.588),(8.724.288),-10975588.0,-8724288.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(500.932),(523.735),-500932.0,-523735.0
Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,(1.306.921),(554.744),-1306921.0,-554744.0
Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,(368.019),(451.462),-368019.0,-451462.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,14.689.532,12.772.305,14689532.0,12772305.0
