row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộng triệu đồng
,,,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.339.683,-,-,-,-,-,-,2.339.683,,2339683.0,,,,,,,2339683.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,14.338.075,-,-,-,-,-,14.338.075,,,14338075.0,,,,,,14338075.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),196.000,-,21.383.179,14.458.761,4.435.311,492.818,-,-,40.966.069,196000.0,,21383179.0,14458761.0,4435311.0,492818.0,,,40966069.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,3.986,(4.000),5.000,5.325,10.572,(6.097),-,14.786,,3986.0,-4000.0,5000.0,5325.0,10572.0,-6097.0,,14786.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),4.379.685,-,81.401.216,121.499.637,12.668.231,12.194.837,6.939.387,,239.082.993,4379685.0,,81401216.0,121499637.0,12668231.0,12194837.0,6939387.0,,239082993.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),80.000,-,3.752.970,9.304.548,7.476.106,5.551.586,26.207.906,32.678.690,85.051.806,80000.0,,3752970.0,9304548.0,7476106.0,5551586.0,26207906.0,32678690.0,85051806.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,4.592.532,-,-,-,-,-,-,4.592.532,,4592532.0,,,,,,,4592532.0
Tài sản cố định và bắt động sản đầu tư,Tài sản > Tài sản cố định và bắt động sản đầu tư,Tài sản cố định và bắt động sản đầu tư,-,2.388.403,-,-,-,-,-,-,2.388.403,,2388403.0,,,,,,,2388403.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,13.353.740,-,-,-,-,-,-,13.353.740,,13353740.0,,,,,,,13353740.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.655.685,22.678.344,120.871.440,145.267.946,24.584.973,18.249.813,33.141.196,32.678.690,402.128.087,4655685.0,22678344.0,120871440.0,145267946.0,24584973.0,18249813.0,33141196.0,32678690.0,402128087.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,16.836,-,-,-,-,-,16.836,,,16836.0,,,,,,16836.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,23.633.528,11.257.710,7.357.208,2.273.707,737.618,44.370,45.304.141,,,23633528.0,11257710.0,7357208.0,2273707.0,737618.0,44370.0,45304141.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,160.694.166,18.389.568,27.140.106,21.790.624,46.964.057,21.252,274.999.773,,,160694166.0,18389568.0,27140106.0,21790624.0,46964057.0,21252.0,274999773.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,-,-,302.126,-,-,-,302.126,,,,,302126.0,,,,302126.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.500.000,69.417,8.199.535,14.745.954,183.061,923.586,25.621.553,,,1500000.0,69417.0,8199535.0,14745954.0,183061.0,923586.0,25621553.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,15.036.049,-,-,-,-,-,-,15.036.049,,15036049.0,,,,,,,15036049.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,15.036.049,185.844.530,29.716.695,42.998.975,38.810.285,47.884.736,989.208,361.280.478,,15036049.0,185844530.0,29716695.0,42998975.0,38810285.0,47884736.0,989208.0,361280478.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,4.655.685,7.642.295,(64.973.090),115.551.251,(18.414.002),(20.560.472),(14.743.540),31.689.482,40.847.609,4655685.0,7642295.0,-64973090.0,115551251.0,-18414002.0,-20560472.0,-14743540.0,31689482.0,40847609.0
