row_label_raw,row_label_full,col_0,Đơn vị: triệu đồng > Miền Bắc,Đơn vị: triệu đồng > Miền Trung,Đơn vị: triệu đồng > Miền Nam,Đơn vị: triệu đồng > Nước ngoài,Đơn vị: triệu đồng > Loại trừ,Đơn vị: triệu đồng > Tổng cộng,numeric__Đơn vị: triệu đồng > Miền Bắc,numeric__Đơn vị: triệu đồng > Miền Trung,numeric__Đơn vị: triệu đồng > Miền Nam,numeric__Đơn vị: triệu đồng > Nước ngoài,numeric__Đơn vị: triệu đồng > Loại trừ,numeric__Đơn vị: triệu đồng > Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
1. Doanh thu lãi,Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,47.654.076,3.940.317,11.000.407,446.692,(35.200.500),27.840.992,47654076.0,3940317.0,11000407.0,446692.0,-35200500.0,27840992.0
2. Doanh thu từ hoạt động dịch vụ,Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,1.525.296,108.481,528.702,23.545,(145.317),2.040.707,1525296.0,108481.0,528702.0,23545.0,-145317.0,2040707.0
3. Doanh thu từ hoạt động kinh doanh khác,Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,7.886.396,239.512,1.573.764,43.233,(4.659.315),5.083.590,7886396.0,239512.0,1573764.0,43233.0,-4659315.0,5083590.0
Chi phí,Chi phí,Chi phí,,,,,,-,,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(38.248.564),(2.682.847),(7.144.087),(276.462),35.200.500,(13.151.460),-38248564.0,-2682847.0,-7144087.0,-276462.0,35200500.0,-13151460.0
2. Chi phí khấu hao TSCĐ,Chi phí > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(280.364),(11.581),(28.059),(2.965),-,(322.969),-280364.0,-11581.0,-28059.0,-2965.0,,-322969.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(9.440.170),(500.069),(2.439.905),(109.103),3.589.319,(8.899.928),-9440170.0,-500069.0,-2439905.0,-109103.0,3589319.0,-8899928.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,9.096.670,1.093.813,3.490.822,124.940,(1.215.313),12.590.932,9096670.0,1093813.0,3490822.0,124940.0,-1215313.0,12590932.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(2.657.662),(589.677),(1.196.369),(76.412),1.215.313,(3.304.807),-2657662.0,-589677.0,-1196369.0,-76412.0,1215313.0,-3304807.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,6.439.008,504.136,2.294.453,48.528,-,9.286.125,6439008.0,504136.0,2294453.0,48528.0,,9286125.0
,,,Tổng nợ cho vay triệu đồng,Tổng tiền gửi tại NHNN và các TCTD khác triệu đồng,Cam kết ngoại bằng triệu đồng,Công cụ tài chính phái sinh triệu đồng,,Kinh doanh và đầu tư chứng khoán triệu đồng,,,,,,
Trong nước,Chi phí > Trong nước,Trong nước,235.569.985,54.381.968,288.950.936,14.786,,85.051.806,235569985.0,54381968.0,288950936.0,14786.0,,85051806.0
Nước ngoài,Chi phí > Nước ngoài,Nước ngoài,3.513.008,922.176,207.782,-,,-,3513008.0,922176.0,207782.0,,,
,,,239.082.993,55.304.144,289.158.718,14.786,,85.051.806,239082993.0,55304144.0,289158718.0,14786.0,,85051806.0
