row_label_raw,row_label_full,col_0,Năm 2019 triệu đồng,Năm 2018 triệu đồng,numeric__Năm 2019 triệu đồng,numeric__Năm 2018 triệu đồng
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,9.286.125,7.029.634,9286125.0,7029634.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,
- Thu nhập từ cổ tức không chịu thuế,Điều chỉnh cho các khoản: > - Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,(371.093),(137.911),-371093.0,-137911.0
- Thu nhập thuần của chi nhánh nước ngoài,Điều chỉnh cho các khoản: > - Thu nhập thuần của chi nhánh nước ngoài,- Thu nhập thuần của chi nhánh nước ngoài,(48.528),(58.418),-48528.0,-58418.0
- Chi phí không được khấu trừ khi tính thuế,Điều chỉnh cho các khoản: > - Chi phí không được khấu trừ khi tính thuế,- Chi phí không được khấu trừ khi tính thuế,23.443,12.206,23443.0,12206.0
Thu nhập chịu thuế ước tính trong năm tại Việt Nam,Điều chỉnh cho các khoản: > Thu nhập chịu thuế ước tính trong năm tại Việt Nam,Thu nhập chịu thuế ước tính trong năm tại Việt Nam,8.889.947,6.845.511,8889947.0,6845511.0
Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,,,,
Thuế TNDN của Ngân hàng tại Việt Nam (20%),Chi phí thuế TNDN trong năm > Thuế TNDN của Ngân hàng tại Việt Nam (20%),Thuế TNDN của Ngân hàng tại Việt Nam (20%),1.777.989,1.369.102,1777989.0,1369102.0
Thuế TNDN của các chi nhánh nước ngoài,Chi phí thuế TNDN trong năm > Thuế TNDN của các chi nhánh nước ngoài,Thuế TNDN của các chi nhánh nước ngoài,11.355,3.808,11355.0,3808.0
Tổng chi phí thuế TNDN phát sinh trong năm,Chi phí thuế TNDN trong năm > Tổng chi phí thuế TNDN phát sinh trong năm,Tổng chi phí thuế TNDN phát sinh trong năm,1.789.344,1.372.910,1789344.0,1372910.0
Thuế TNDN phải trả đầu năm,Chi phí thuế TNDN trong năm > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,289.152,200.709,289152.0,200709.0
Thuế TNDN đã trả trong năm,Chi phí thuế TNDN trong năm > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(1.629.534),(1.292.723),-1629534.0,-1292723.0
Điều chỉnh theo kết quả của Thanh tra thuế và Kiểm toàn Nhà nước,Chi phí thuế TNDN trong năm > Điều chỉnh theo kết quả của Thanh tra thuế và Kiểm toàn Nhà nước,Điều chỉnh theo kết quả của Thanh tra thuế và Kiểm toàn Nhà nước,7.138,8.256,7138.0,8256.0
Chênh lệch tỷ giá hối đoái,Chi phí thuế TNDN trong năm > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,84,-,84.0,
Thuế TNDN phải trả cuối năm,Chi phí thuế TNDN trong năm > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,456.184,289.152,456184.0,289152.0
