row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.275.614,1.043.437,529.300,137.457,2.985.808,1275614.0,1043437.0,529300.0,137457.0,2985808.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,6.858,110.185,69.455,21.995,208.493,6858.0,110185.0,69455.0,21995.0,208493.0
Hoàn thành mua sắm tài sản cố định,Nguyên giá > Hoàn thành mua sắm tài sản cố định,Hoàn thành mua sắm tài sản cố định,-,19.202,3.198,859,23.259,,19202.0,3198.0,859.0,23259.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(307),(5.290),(4.948),(2.793),(13.338),-307.0,-5290.0,-4948.0,-2793.0,-13338.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.475,1.288,-,-,3.763,2475.0,1288.0,,,3763.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(17),(511),(187),(55),(770),-17.0,-511.0,-187.0,-55.0,-770.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.284.623,1.168.311,596.818,157.463,3.207.215,1284623.0,1168311.0,596818.0,157463.0,3207215.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,193.164,843.348,407.505,128.043,1.572.060,193164.0,843348.0,407505.0,128043.0,1572060.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,52.606,122.829,56.211,3.993,235.639,52606.0,122829.0,56211.0,3993.0,235639.0
Giảm khấu hao trong năm,Giá trị hao mòn luỹ kế > Giảm khấu hao trong năm,Giảm khấu hao trong năm,(307),(5.290),(4.948),(2.776),(13.321),-307.0,-5290.0,-4948.0,-2776.0,-13321.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(14),(491),(169),(49),(723),-14.0,-491.0,-169.0,-49.0,-723.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,245.449,960.396,458.599,129.211,1.793.655,245449.0,960396.0,458599.0,129211.0,1793655.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.082.450,200.089,121.795,9.414,1.413.748,1082450.0,200089.0,121795.0,9414.0,1413748.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.039.174,207.915,138.219,28.252,1.413.560,1039174.0,207915.0,138219.0,28252.0,1413560.0
