row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2019 triệu đồng,31/12/2018 triệu đồng,numeric__Thuyết minh,numeric__31/12/2019 triệu đồng,numeric__31/12/2018 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.339.683,1.734.482,5.0,2339683.0,1734482.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,14.338.075,10.544.055,6.0,14338075.0,10544055.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,40.770.069,44.718.378,7.0,40770069.0,44718378.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,32.641.295,37.140.384,,32641295.0,37140384.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,8.324.774,7.773.994,,8324774.0,7773994.0
Dự phòng rủi ro,TÀI SẢN > Dự phòng rủi ro,Dự phòng rủi ro,,(196.000),(196.000),,-196000.0,-196000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,14.786,36.032,8.0,14786.0,36032.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,236.079.366,203.874.440,,236079366.0,203874440.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,9,239.082.993,206.955.635,9.0,239082993.0,206955635.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,10,(3.003.627),(3.081.195),10.0,-3003627.0,-3081195.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,84.762.114,72.837.158,,84762114.0,72837158.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,11.1,82.568.671,70.184.867,111.0,82568671.0,70184867.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,11.2,2.483.135,2.909.987,112.0,2483135.0,2909987.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,11.4,(289.692),(257.696),114.0,-289692.0,-257696.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",12,4.510.857,4.207.174,12.0,4510857.0,4207174.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,12.1,4.125.246,3.820.907,121.0,4125246.0,3820907.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,12.2,467.286,467.942,122.0,467286.0,467942.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,12.2,(81.675),(81.675),122.0,-81675.0,-81675.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,2.388.403,2.370.813,,2388403.0,2370813.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,13,1.413.560,1.413.748,13.0,1413560.0,1413748.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,3.207.215,2.985.808,,3207215.0,2985808.0
Khẩu hao lũy kế,TÀI SẢN > Khẩu hao lũy kế,Khẩu hao lũy kế,,(1.793.655),(1.572.060),,-1793655.0,-1572060.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14,974.843,957.065,14.0,974843.0,957065.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,1.727.440,1.624.458,,1727440.0,1624458.0
Hao mòn lũy kế,TÀI SẢN > Hao mòn lũy kế,Hao mòn lũy kế,,(752.597),(667.393),,-752597.0,-667393.0
Tài sản có khác,TÀI SẢN > Tài sản có khác,Tài sản có khác,,13.353.740,12.160.017,,13353740.0,12160017.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,15.1,8.987.227,8.180.546,151.0,8987227.0,8180546.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,3.470.008,3.154.828,,3470008.0,3154828.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15.2,896.505,833.481,152.0,896505.0,833481.0
Trong đó: Lợi thế thương mại,TÀI SẢN > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,16,57.135,66.658,16.0,57135.0,66658.0
Dự phòng rủi ro cho các tài sản có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản có nội bằng khác,Dự phòng rủi ro cho các tài sản có nội bằng khác,15.3,-,(8.838),153.0,,-8838.0
TỔNG TÀI SẢN CÓ,TÀI SẢN > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,398.557.093,352.482.549,,398557093.0,352482549.0
