row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Cổ phiếu quỹ triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác thuộc VCSH triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Cổ phiếu quỹ triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác thuộc VCSH triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,18.155.054,828.197,-,937.587,1.860.373,340.693,6.069.467,28.191.371,18155054.0,828197.0,,937587.0,1860373.0,340693.0,6069467.0,28191371.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,5.656.724,5.656.724,,,,,,,5656724.0,5656724.0
Tăng vốn từ phát hành cổ phiếu và chia cổ tức bằng cổ phiếu,Tăng vốn từ phát hành cổ phiếu và chia cổ tức bằng cổ phiếu,Tăng vốn từ phát hành cổ phiếu và chia cổ tức bằng cổ phiếu,3.449.460,(828.197),-,-,-,-,(2.621.263),-,3449460.0,-828197.0,,,,,-2621263.0,
Trích lập quỹ từ lợi nhuận sau thuế 2017 theo NQ ĐHĐCD,Trích lập quỹ từ lợi nhuận sau thuế 2017 theo NQ ĐHĐCD,Trích lập quỹ từ lợi nhuận sau thuế 2017 theo NQ ĐHĐCD,-,-,-,214.726,429.452,343.562,(987.740),-,,,,214726.0,429452.0,343562.0,-987740.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(309.075),-,(309.075),,,,,,-309075.0,,-309075.0
Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,-,-,-,-,-,-,14.936,14.936,,,,,,,14936.0,14936.0
Chi trả cổ tức trong kỳ bằng tiền,Chi trả cổ tức trong kỳ bằng tiền,Chi trả cổ tức trong kỳ bằng tiền,-,-,-,-,-,-,(1.089.303),(1.089.303),,,,,,,-1089303.0,-1089303.0
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,-,(257.671),(257.671),,,,,,,-257671.0,-257671.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,(1.158),(1.158),,,,,,,-1158.0,-1158.0
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,21.604.514,-,-,1.152.313,2.289.825,375.180,6.783.992,32.205.824,21604514.0,,,1152313.0,2289825.0,375180.0,6783992.0,32205824.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.496.781,7.496.781,,,,,,,7496781.0,7496781.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,282.836,565.672,339.402,(1.187.910),-,,,,282836.0,565672.0,339402.0,-1187910.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(206.533),-,(206.533),,,,,,-206533.0,,-206533.0
Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,-,-,-,-,-,-,(1.268.039),(1.268.039),,,,,,,-1268039.0,-1268039.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,1.690.719,-,-,-,-,-,(1.690.719),-,1690719.0,,,,,,-1690719.0,
Phát hành cổ phiếu thưởng cho cán bộ nhân viên,Phát hành cổ phiếu thưởng cho cán bộ nhân viên,Phát hành cổ phiếu thưởng cho cán bộ nhân viên,432.090,-,-,-,-,-,-,432.090,432090.0,,,,,,,432090.0
Mua lại cổ phiếu quỹ trong năm,Mua lại cổ phiếu quỹ trong năm,Mua lại cổ phiếu quỹ trong năm,-,-,(1.036.712),-,-,-,-,(1.036.712),,,-1036712.0,,,,,-1036712.0
Trích quỹ khen thưởng,Trích quỹ khen thưởng,Trích quỹ khen thưởng,-,-,-,-,-,-,(339.403),(339.403),,,,,,,-339403.0,-339403.0
Điều chỉnh theo báo cáo kiểm toán tại chính nhánh nước ngoài,Điều chỉnh theo báo cáo kiểm toán tại chính nhánh nước ngoài,Điều chỉnh theo báo cáo kiểm toán tại chính nhánh nước ngoài,-,-,-,-,-,1.075,(6.350),(5.275),,,,,,1075.0,-6350.0,-5275.0
Điều chỉnh theo thanh tra thuế,Điều chỉnh theo thanh tra thuế,Điều chỉnh theo thanh tra thuế,-,-,-,-,-,-,(7.196),(7.196),,,,,,,-7196.0,-7196.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(332),5.410,5.078,,,,,,-332.0,5410.0,5078.0
