row_label_raw,row_label_full,Mức rủi ro tín dụng của các tài khoản thuộc Bảng cân đối kế toán riêng,Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảng cân đối kế toán riêng,Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảng cân đối kế toán riêng,numeric__Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảng cân đối kế toán riêng,numeric__Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảng cân đối kế toán riêng
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,3.500.995,2.998.548,3500995.0,2998548.0
Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,11.911.947,9.877.201,11911947.0,9877201.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,34.716.197,33.479.645,34716197.0,33479645.0
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,3.381.781,830.764,3381781.0,830764.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",1.066.409,1.270.241,1066409.0,1270241.0
Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,192.423,95.826,192423.0,95826.0
Cộng,Cộng,Cộng,54.769.752,48.552.225,54769752.0,48552225.0
Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,,
Cam kết trong nghiệp vụ L/C – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,58.567,8.186,58567.0,8186.0
Bảo lãnh khác – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,187.750,141.002,187750.0,141002.0
Cộng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cộng,Cộng,246.317,149.188,246317.0,149188.0
