row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Cộng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Cộng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,694.761,-,-,-,-,694.761,,,694761.0,,,,,694761.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,2.998.548,-,-,-,-,2.998.548,,,2998548.0,,,,,2998548.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,4.922.104,4.955.097,-,-,-,9.877.201,,,4922104.0,4955097.0,,,,9877201.0
Công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác (*),Công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,853,-,-,-,-,853,,,853.0,,,,,853.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),304.193,37.763,5.293.408,2.413.766,11.783.965,5.481.664,8.164.886,33.479.645,304193.0,37763.0,5293408.0,2413766.0,11783965.0,5481664.0,8164886.0,33479645.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,301.603,206.015,9.991,313.155,830.764,,,,301603.0,206015.0,9991.0,313155.0,830764.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,514.521,514.521,,,,,,,514521.0,514521.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,603.540,85,1.540,69.190,828.382,1.502.737,,,603540.0,85.0,1540.0,69190.0,828382.0,1502737.0
Các tài sản có khác (*),Tài sản > Các tài sản có khác (*),Các tài sản có khác (*),-,-,1.279.022,432.716,-,-,-,1.711.738,,,1279022.0,432716.0,,,,1711738.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,304.193,37.763,15.792.236,8.103.267,11.991.520,5.560.845,9.820.944,51.610.768,304193.0,37763.0,15792236.0,8103267.0,11991520.0,5560845.0,9820944.0,51610768.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,4.848.587,7.123.093,231.339,69.376,8.542,12.280.937,,,4848587.0,7123093.0,231339.0,69376.0,8542.0,12280937.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,8.396.855,6.981.825,15.336.905,2.455.859,813,33.172.257,,,8396855.0,6981825.0,15336905.0,2455859.0,813.0,33172257.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,1.200.000,-,-,1.200.000,,,,,1200000.0,,,1200000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,892.642,-,-,-,-,892.642,,,892642.0,,,,,892642.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,14.138.084,14.104.918,16.768.244,2.525.235,9.355,47.545.836,,,14138084.0,14104918.0,16768244.0,2525235.0,9355.0,47545836.0
Chênh lệch thanh khoản ròng,Nợ phải trả > Chênh lệch thanh khoản ròng,Chênh lệch thanh khoản ròng,304.193,37.763,1.654.152,(6.001.651),(4.776.724),3.035.610,9.811.589,4.064.932,304193.0,37763.0,1654152.0,-6001651.0,-4776724.0,3035610.0,9811589.0,4064932.0
