row_label_raw,row_label_full,Họ và tên > Ông Lê Hồng Phương,Chức vụ > Chủ tịch > Thành viên,Ngày bổ nhiệm/miễn nhiệm > Bổ nhiệm ngày 01 tháng 02 năm 2021 > Bổ nhiệm ngày 28 tháng 01 năm 2021,numeric__Chức vụ > Chủ tịch > Thành viên,numeric__Ngày bổ nhiệm/miễn nhiệm > Bổ nhiệm ngày 01 tháng 02 năm 2021 > Bổ nhiệm ngày 28 tháng 01 năm 2021
Ông Mai Hữu Tín,Ông Mai Hữu Tín,Ông Mai Hữu Tín,Phó Chủ tịch,,,
Ông Phạm Trần Duy Huyền,Ông Phạm Trần Duy Huyền,Ông Phạm Trần Duy Huyền,Phó Chủ tịch,,,
Bà Trần Thị Thu Hằng,Bà Trần Thị Thu Hằng,Bà Trần Thị Thu Hằng,Phó Chủ tịch,Bổ nhiệm ngày 01 tháng 02 năm 2021,,
Bà Trần Thị Thu Hằng,Bà Trần Thị Thu Hằng,Bà Trần Thị Thu Hằng,Thành viên,Bổ nhiệm ngày 28 tháng 01 năm 2021,,
Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Chủ tịch,Miễn nhiệm ngày 01 tháng 02 năm 2021,,
Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Thành viên,Bổ nhiệm ngày 01 tháng 02 năm 2021,,
Bà Nguyễn Thụy Quỳnh Hương,Bà Nguyễn Thụy Quỳnh Hương,Bà Nguyễn Thụy Quỳnh Hương,Thành viên,,,
Bà Trần Tuấn Anh,Bà Trần Tuấn Anh,Bà Trần Tuấn Anh,Thành viên,,,
Ông Lê Trung Việt,Ông Lê Trung Việt,Ông Lê Trung Việt,Thành viên,Miễn nhiệm ngày 28 tháng 01 năm 2021,,
Ông Trần Văn Trọng,Ông Trần Văn Trọng,Ông Trần Văn Trọng,Thành viên độc lập,,,
