row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,310.655,5.701.139,2.966.173,8.977.967,310655.0,5701139.0,2966173.0,8977967.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,4.514.671,-,4.514.671,,4514671.0,,4514671.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(274.632),-,(274.632),,-274632.0,,-274632.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,310.655,9.941.178,2.966.173,13.218.006,310655.0,9941178.0,2966173.0,13218006.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,310.655,4.990.704,2.929.213,8.230.572,310655.0,4990704.0,2929213.0,8230572.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(310.655),(5.540.779),(2.955.700),(8.807.134),-310655.0,-5540779.0,-2955700.0,-8807134.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(612.438),(7.392),(619.830),,-612438.0,-7392.0,-619830.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,274.632,-,274.632,,274632.0,,274632.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,(310.655),(5.878.585),(2.963.092),(9.152.332),-310655.0,-5878585.0,-2963092.0,-9152332.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,160.360,10.473,170.833,,160360.0,10473.0,170833.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,4.062.593,3.081,4.065.674,,4062593.0,3081.0,4065674.0
