row_label_raw,row_label_full,Năm phát sinh > 2024,Có thể được chuyển thành chi phí lãi vay được trừ thuế đến năm > 2029,Chi phí lãi vay chưa được trừ thuế phát sinh (i) > 20.003.206,Chi phí lãi vay chưa được trừ đã chuyển sang năm sau tính đến ngày 31/12/2025 > -,Chi phí lãi vay chưa được trừ chưa chuyển sang năm sau tại ngày 31/12/2025 > 20.003.206,numeric__Có thể được chuyển thành chi phí lãi vay được trừ thuế đến năm > 2029,numeric__Chi phí lãi vay chưa được trừ thuế phát sinh (i) > 20.003.206,numeric__Chi phí lãi vay chưa được trừ đã chuyển sang năm sau tính đến ngày 31/12/2025 > -,numeric__Chi phí lãi vay chưa được trừ chưa chuyển sang năm sau tại ngày 31/12/2025 > 20.003.206
2025,2025,2025,2030,199.996.875,-,199.996.875,2030.0,199996875.0,,199996875.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,220.000.081,-,220.000.081,,220000081.0,,220000081.0
