row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Ngàn VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Thaco Agri,Thaco Agri,Thaco Agri,Lãi vay,736.381.867,535.779.028,,736381867.0,535779028.0
Thaco Agri,Thaco Agri,Thaco Agri,Vay,512.573.527,3.790.420.000,,512573527.0,3790420000.0
Thaco Agri,Thaco Agri,Thaco Agri,Mua hàng hóa,481.274.447,379.990.887,,481274447.0,379990887.0
Thaco Agri,Thaco Agri,Thaco Agri,Bán hàng hóa,249.035.940,184.040.177,,249035940.0,184040177.0
Thaco Agri,Thaco Agri,Thaco Agri,Mua dịch vụ,7.506.904,273.451,,7506904.0,273451.0
Thaco Agri,Thaco Agri,Thaco Agri,Cung cấp dịch vụ,770.000,-,,770000.0,
Thaco Agri,Thaco Agri,Thaco Agri,Cấn trừ công nợ,-,395.947.547,,,395947547.0
Thaco Agri,Thaco Agri,Thaco Agri,Trả gốc vay,-,179.400.000,,,179400000.0
HAG,HAG,HAG,Trả gốc vay,-,984.698.038,,,984698038.0
HAG,HAG,HAG,Cấn trừ công nợ,-,149.232.759,,,149232759.0
HA Attapeu,HA Attapeu,HA Attapeu,Lãi cho vay,427.814.680,396.764.885,,427814680.0,396764885.0
HA Attapeu,HA Attapeu,HA Attapeu,Bán hàng hóa,221.411.621,388.018.840,,221411621.0,388018840.0
HA Attapeu,HA Attapeu,HA Attapeu,Mua hàng hóa,137.542.779,99.287.666,,137542779.0,99287666.0
HA Attapeu,HA Attapeu,HA Attapeu,Cấn trừ nợ gốc vay,59.393.846,233.031.130,,59393846.0,233031130.0
HA Attapeu,HA Attapeu,HA Attapeu,Cho mượn hàng hóa,29.110.644,-,,29110644.0,
HA Attapeu,HA Attapeu,HA Attapeu,Cho vay,-,454.370.088,,,454370088.0
HA Attapeu,HA Attapeu,HA Attapeu,Cấn trừ công nợ,-,316.391.149,,,316391149.0
HA Oyadav,HA Oyadav,HA Oyadav,Lãi cho vay,62.702.299,63.537.513,,62702299.0,63537513.0
HA Oyadav,HA Oyadav,HA Oyadav,Cấn trừ công nợ,-,394.332.017,,,394332017.0
HA Oyadav,HA Oyadav,HA Oyadav,Góp vốn,-,160.042.000,,,160042000.0
HAQM Lào,HAQM Lào,HAQM Lào,Mua hàng hóa,88.647.135,78.767.126,,88647135.0,78767126.0
HAQM Lào,HAQM Lào,HAQM Lào,Lãi cho vay,37.555.217,37.658.108,,37555217.0,37658108.0
HAQM Lào,HAQM Lào,HAQM Lào,Cấn trừ công nợ,-,167.435.978,,,167435978.0
HA Rattanakiri,HA Rattanakiri,HA Rattanakiri,Lãi cho vay,48.978.380,49.112.567,,48978380.0,49112567.0
Bidiphar,Bidiphar,Bidiphar,Thu tiền cổ tức,20.915.646,26.144.558,,20915646.0,26144558.0
Bidiphar,Bidiphar,Bidiphar,Cổ tức được chia,20.915.646,26.144.558,,20915646.0,26144558.0
Nam Lào,Nam Lào,Nam Lào,Bán hàng hóa,274.417.095,26.087.917,,274417095.0,26087917.0
Nam Lào,Nam Lào,Nam Lào,Cấn trừ nợ gốc vay,19.119.781,-,,19119781.0,
Nam Lào,Nam Lào,Nam Lào,Lãi cho vay,996.272,-,,996272.0,
Thaco Phân phối,Thaco Phân phối,Thaco Phân phối,Mua hàng hóa,6.394.444,8.258.889,,6394444.0,8258889.0
Thilogi,Thilogi,Thilogi,Mua dịch vụ,571.290,6.654.015,,571290.0,6654015.0
Bò Trung Nguyên,Bò Trung Nguyên,Bò Trung Nguyên,Bán hàng hóa,41.084,-,,41084.0,
Heng Brothers,Heng Brothers,Heng Brothers,Cấn trừ công nợ,-,10.044.778,,,10044778.0
CRD,CRD,CRD,Cấn trừ công nợ,-,7.445.106,,,7445106.0
Đại Quang Minh,Đại Quang Minh,Đại Quang Minh,Mua dịch vụ,-,4.052.625,,,4052625.0
