row_label_raw,row_label_full,col_0,Ngàn VNDPhần mềm vi tính,numeric__Ngàn VNDPhần mềm vi tính
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,5.980.000,5980000.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,(3.488.333),-3488333.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,(747.500),-747500.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,(4.235.833),-4235833.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.491.667,2491667.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.744.167,1744167.0
