row_label_raw,row_label_full,HA Attapeu,Cán trừ công nợ,2.045.276.071,1.915.970.282,numeric__Cán trừ công nợ,numeric__2.045.276.071,numeric__1.915.970.282
HA Attapeu,HA Attapeu,HA Attapeu,Lãi cho vay,1.126.643.044,792.155.976,,1126643044.0,792155976.0
HA Attapeu,HA Attapeu,HA Attapeu,Chi hộ,178.344.427,178.644.427,,178344427.0,178644427.0
HAQM Lào,HAQM Lào,HAQM Lào,Lãi cho vay,192.136.113,154.580.896,,192136113.0,154580896.0
HAQM Lào,HAQM Lào,HAQM Lào,Cán trừ công nợ,22.531.508,21.880.460,,22531508.0,21880460.0
HAQM Lào,HAQM Lào,HAQM Lào,Chi hộ,1.110.999,1.110.999,,1110999.0,1110999.0
CRD,CRD,CRD,Cán trừ công nợ,90.196.071,87.256.429,,90196071.0,87256429.0
THACO AGRI,THACO AGRI,THACO AGRI,Cán trừ công nợ,63.317.049,71.815.957,,63317049.0,71815957.0
Nam Lào,Nam Lào,Nam Lào,Chi hộ,47.643823,14.715.372,,47643823.0,14715372.0
HA Oyadav,HA Oyadav,HA Oyadav,Lãi cho vay,9.063.706,-,,9063706.0,
HA Oyadav,HA Oyadav,HA Oyadav,Chi hộ,-,58.885,,,58885.0
HA Rattanakiri,HA Rattanakiri,HA Rattanakiri,Chi hộ,-,69.227,,,69227.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,3.776.262.811,3.238.258.910,,3776262811.0,3238258910.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
HA Attapeu,Phải thu dài hạn khác > HA Attapeu,HA Attapeu,Lãi cho vay,1.768.048.888,1.664.648.815,,1768048888.0,1664648815.0
HA Attapeu,Phải thu dài hạn khác > HA Attapeu,HA Attapeu,Phải thu khác,31.408.735,-,,31408735.0,
HAQM Lào,Phải thu dài hạn khác > HAQM Lào,HAQM Lào,Lãi cho vay,72.306.516,72.306.516,,72306516.0,72306516.0
HA Oyadav,Phải thu dài hạn khác > HA Oyadav,HA Oyadav,Lãi cho vay,8.495.339,-,,8495339.0,
Nam Lào,Phải thu dài hạn khác > Nam Lào,Nam Lào,Phải thu khác,7.703.577,-,,7703577.0,
Nam Lào,Phải thu dài hạn khác > Nam Lào,Nam Lào,Lãi cho vay,996.272,-,,996272.0,
TỔNG CỘNG,Phải thu dài hạn khác > TỔNG CỘNG,TỔNG CỘNG,,1.888.959.327,1.736.955.331,,1888959327.0,1736955331.0
