row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,93.615.296,-,-,93.615.296,93615296.0,,,93615296.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,234.884.068,-,-,234.884.068,234884068.0,,,234884068.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,158.215.874,-,-,158.215.874,158215874.0,,,158215874.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,76.668.194,-,-,76.668.194,76668194.0,,,76668194.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,8.561.021,-,-,8.561.021,8561021.0,,,8561021.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,526.010.313,1.918.788,10.942.568,538.871.669,526010313.0,1918788.0,10942568.0,538871669.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,130.024.129,-,-,130.024.129,130024129.0,,,130024129.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,34.680.108,-,-,34.680.108,34680108.0,,,34680108.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,95.344.021,-,-,95.344.021,95344021.0,,,95344021.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,10.331.199,-,-,10.331.199,10331199.0,,,10331199.0
,,,1.003.426.026,1.918.788,10.942.568,1.016.287.382,1003426026.0,1918788.0,10942568.0,1016287382.0
