row_label_raw,row_label_full,col_0,31/12/2016Triệu VND(trình bày lại),31/12/2016Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2016Triệu VND(trình bày lại),numeric__31/12/2016Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,449.108.097,449.070.726,37.371,449108097.0,449070726.0,37371.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,457.137.789,457.137.817,(28),457137789.0,457137817.0,-28.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(8.029.692),(8.067.091),37.399,-8029692.0,-8067091.0,37399.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,5.493.883,5.403.628,90.255,5493883.0,5403628.0,90255.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,3.515.534,3.506.580,8.954,3515534.0,3506580.0,8954.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,7.956.856,7.946.645,10.211,7956856.0,7946645.0,10211.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(4.441.322),(4.440.065),(1.257),-4441322.0,-4440065.0,-1257.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,1.978.349,1.897.048,81.301,1978349.0,1897048.0,81301.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,2.555.452,2.471.073,84.379,2555452.0,2471073.0,84379.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(577.103),(574.025),(3.078),-577103.0,-574025.0,-3078.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,10.382.598,10.482.028,(99.430),10382598.0,10482028.0,-99430.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,2.515.112,2.507.696,7.416,2515112.0,2507696.0,7416.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",5.751.596,5.746.557,5.039,5751596.0,5746557.0,5039.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,2.115.890,2.227.775,(111.885),2115890.0,2227775.0,-111885.0
Tổng ảnh hưởng,Tổng ảnh hưởng,Tổng ảnh hưởng,,,28.196,,,28196.0
