row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2017Triệu VND,31/12/2016Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND(trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,16,171.385.068,54.151.413,,16.0,171385068.0,54151413.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,65.824.412,71.337.732,,17.0,65824412.0,71337732.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,56.087.787,53.491.202,,,56087787.0,53491202.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,9.736.625,17.846.530,,,9736625.0,17846530.0
III,B > III,III,Tiền gửi của khách hàng,18,708.748.578,590.910.736,,18.0,708748578.0,590910736.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,23.153,-,,19.0,23153.0,
VI,B > VI,VI,Phát hành giấy tờ có giá,20,18.002.017,10.005.376,,20.0,18002017.0,10005376.0
VII,B > VII,VII,Các khoản nợ khác,,17.040.267,12.533.236,,,17040267.0,12533236.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),8.461.859,6.449.922,,,8461859.0,6449922.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),8.578.408,6.083.314,,,8578408.0,6083314.0
,,,TỔNG NỘ PHẢI TRẢ,,981.023.495,738.938.493,,,981023495.0,738938493.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,35.977.686,35.977.686,,,35977686.0,35977686.0
a,VIII > a,a,Vốn điều lệ,,35.977.686,35.977.686,,,35977686.0,35977686.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,7.048.834,5.730.257,,,7048834.0,5730257.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,8.263.043,5.344.461,,,8263043.0,5344461.0
a,VIII > a,a,Lợi nhuận đề lại năm trước,,2.244.258,870.659,,,2244258.0,870659.0
b,VIII > b,b,Lợi nhuận đề lại năm nay,,6.018.785,4.473.802,,,6018785.0,4473802.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),51.289.563,47.052.404,,,51289563.0,47052404.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.032.313.058,785.990.897,,,1032313058.0,785990897.0
