row_label_raw,row_label_full,STT,Chỉ tiêu > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,Thuyết minh > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2017 Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2016 Triệu VND (trình bày lại) > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__Chỉ tiêu > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__Thuyết minh > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2017 Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2016 Triệu VND (trình bày lại) > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN
1,1,1,Bảo lãnh vay vốn,,265.179,222.549,,,265179.0,222549.0
2,2,2,Cam kết giao dịch hối đoái,,74.729.089,24.605.699,,,74729089.0,24605699.0
,,,Cam kết mua ngoại tệ,,8.223.247,9.019.812,,,8223247.0,9019812.0
,,,Cam kết bán ngoại tệ,,66.505.842,15.585.887,,,66505842.0,15585887.0
4,4,4,Cam kết trong nghiệp vụ thư tín dụng,,45.239.213,43.914.997,,,45239213.0,43914997.0
5,5,5,Bảo lãnh khác,,51.953.402,36.670.024,,,51953402.0,36670024.0
6,6,6,Các cam kết khác,,131.912,63.624,,,131912.0,63624.0
