row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
,,,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,10.095.135,-,-,-,-,-,-,10.095.135,,,10095135.0,,,,,,,10095135.0
II,II,II,Tiền gửi tại NHNNVN,-,-,93.615.296,-,-,-,-,-,93.615.296,,,,93615296.0,,,,,,93615296.0
III,III,III,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,196.383.002,24.191.210,3.455.884,1.166.465,9.687.507,-,234.884.068,,,,196383002.0,24191210.0,3455884.0,1166465.0,9687507.0,,234884068.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,8.561.021,-,-,-,-,-,8.561.021,,,,8561021.0,,,,,,8561021.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,832.354,-,-,-,-,832.354,,,,,832354.0,,,,,832354.0
VI,VI,VI,Cho vay khách hàng – gộp,4.556.890,-,134.363.659,189.561.687,133.206.635,50.742.801,25.880.118,559.879,538.871.669,,4556890.0,,134363659.0,189561687.0,133206635.0,50742801.0,25880118.0,559879.0,538871669.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,2.865.431,3.754.383,7.413.312,7.361.237,76.189.267,32.440.499,130.024.129,,,,2865431.0,3754383.0,7413312.0,7361237.0,76189267.0,32440499.0,130024129.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,5.154.471,-,-,-,-,-,-,5.154.471,,,5154471.0,,,,,,,5154471.0
IX,IX,IX,Tài sản cố định,-,5.809.180,-,-,-,-,-,-,5.809.180,,,5809180.0,,,,,,,5809180.0
X,X,X,Tài sản Có khác – gộp,-,12.795.503,-,-,-,-,-,-,12.795.503,,,12795503.0,,,,,,,12795503.0
,,,Tổng tài sản,4.556.890,33.854.289,435.788.409,218.339.634,144.075.831,59.270.503,111.756.892,33.000.378,1.040.642.826,,4556890.0,33854289.0,435788409.0,218339634.0,144075831.0,59270503.0,111756892.0,33000378.0,1040642826.0
,,,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,224.453.932,8.748.458,2.708.327,1.298.763,-,-,237.209.480,,,,224453932.0,8748458.0,2708327.0,1298763.0,,,237209480.0
II,II,II,Tiền gửi của khách hàng,-,-,392.700.017,116.796.948,104.488.435,90.548.366,4.214.812,-,708.748.578,,,,392700017.0,116796948.0,104488435.0,90548366.0,4214812.0,,708748578.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,153,-,-,-,1.640,21.360,23.153,,,,153.0,,,,1640.0,21360.0,23153.0
V,V,V,Phát hành giấy tờ có giá,-,-,2.017,-,-,3.360.000,13.900.000,740.000,18.002.017,,,,2017.0,,,3360000.0,13900000.0,740000.0,18002017.0
VI,VI,VI,Các khoản nợ phải trả khác,-,17.040.267,-,-,-,-,-,-,17.040.267,,,17040267.0,,,,,,,17040267.0
,,,Tổng nợ phải trả,-,17.040.267,617.156.119,125.545.406,107.196.762,95.207.129,18.116.452,761.360,981.023.495,,,17040267.0,617156119.0,125545406.0,107196762.0,95207129.0,18116452.0,761360.0,981023495.0
,,,Mức chênh nhạy cảm với lãi suất nội bảng,4.556.890,16.814.022,(181.367.710),92.794.228,36.879.069,(35.936.626),93.640.440,32.239.018,59.619.331,,4556890.0,16814022.0,-181367710.0,92794228.0,36879069.0,-35936626.0,93640440.0,32239018.0,59619331.0
