row_label_raw,row_label_full,col_0,31/12/2016Triệu VND(trình bày lại),31/12/2016Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2016Triệu VND(trình bày lại),numeric__31/12/2016Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,37.422.805,37.417.766,5.039,37422805.0,37417766.0,5039.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,18.277.094,18.272.055,5.039,18277094.0,18272055.0,5039.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.286.985,2.285.797,1.188,2286985.0,2285797.0,1188.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.916.424,1.915.236,1.188,1916424.0,1915236.0,1188.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(9.876.772),(9.888.203),11.431,-9876772.0,-9888203.0,11431.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.642.051,14.624.393,17.658,14642051.0,14624393.0,17658.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.349.997),(6.387.396),37.399,-6349997.0,-6387396.0,37399.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,8.292.054,8.236.997,55.057,8292054.0,8236997.0,55057.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(1.636.079),(1.625.068),(11.011),-1636079.0,-1625068.0,-11011.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(1.636.079),(1.625.068),(11.011),-1636079.0,-1625068.0,-11011.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,6.655.975,6.611.929,44.046,6655975.0,6611929.0,44046.0
