row_label_raw,row_label_full,col_0,2017Triệu VND,2016Triệu VND(trình bày lại),numeric__2017Triệu VND,numeric__2016Triệu VND(trình bày lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,2.180.252,2.121.384,2180252.0,2121384.0
Thu về nghiệp vụ bán nợ,Thu nhập từ hoạt động khác > Thu về nghiệp vụ bán nợ,Thu về nghiệp vụ bán nợ,-,57.110,,57110.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,166.826,108.491,166826.0,108491.0
,,,2.347.078,2.286.985,2347078.0,2286985.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí hoạt động khác > Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí cho nghiệp vụ hoán đổi lãi suất,(85.028),(132.417),-85028.0,-132417.0
Chi về nghiệp vụ bán nợ,Chi phí hoạt động khác > Chi về nghiệp vụ bán nợ,Chi về nghiệp vụ bán nợ,-,(2.026),,-2026.0
Chi công tác xã hội,Chi phí hoạt động khác > Chi công tác xã hội,Chi công tác xã hội,(106.832),(216.968),-106832.0,-216968.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(64.435),(19.150),-64435.0,-19150.0
,,,(256.295),(370.561),-256295.0,-370561.0
,,,2.090.783,1.916.424,2090783.0,1916424.0
