row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,2017Triệu VND,2016Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__2017Triệu VND,numeric__2016Triệu VND(trình bày lại)
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,,45.577.590,36.489.977,,,45577590.0,36489977.0
02,02,02,Chi phí lãi và các chi phí tương tự đã trả,,(22.176.453),(17.690.344),,,-22176453.0,-17690344.0
03,03,03,Thu nhập thuần từ hoạt động dịch vụ nhận được,,2.355.446,1.991.761,,,2355446.0,1991761.0
04,04,04,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",,2.495.527,2.432.639,,,2495527.0,2432639.0
05,05,05,Chi phí khác đã trả,,(92.387),(208.888),,,-92387.0,-208888.0
06,06,06,"Tiền thu từ các khoản nợ đã được xử lý, bù đắp bằng nguồn rủi ro",,2.180.252,2.120.227,,,2180252.0,2120227.0
07,07,07,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",,(10.321.301),(9.197.581),,,-10321301.0,-9197581.0
08,08,08,Tiền thuế thu nhập thực nộp trong năm,,(2.028.543),(1.684.851),,,-2028543.0,-1684851.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ hoạt động,,17.990.131,14.252.940,,,17990131.0,14252940.0
,,,(Tăng)/giảm về tài sản hoạt động,(Tăng)/giảm về tài sản hoạt động,(Tăng)/giảm về tài sản hoạt động,(Tăng)/giảm về tài sản hoạt động,,,,
09,09,09,Các khoản tiền gửi và cho vay các tổ chức tín dụng khác,,(8.949.034),(11.955.172),,,-8949034.0,-11955172.0
10,10,10,Các khoản về kinh doanh chứng khoán,,(1.512.901),(31.284.999),,,-1512901.0,-31284999.0
11,11,11,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,(601.696),(230.030),,,-601696.0,-230030.0
12,12,12,Các khoản cho vay khách hàng,,(81.733.880),(72.494.163),,,-81733880.0,-72494163.0
13,13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản,,(6.207.924),(7.374.917),,,-6207924.0,-7374917.0
14,14,14,Tài sản hoạt động khác,,(2.154.165),(663.162),,,-2154165.0,-663162.0
,,,Tăng/(giảm) về nợ hoạt động,Tăng/(giảm) về nợ hoạt động,Tăng/(giảm) về nợ hoạt động,Tăng/(giảm) về nợ hoạt động,,,,
15,15,15,Các khoản nợ Chính phủ và NHNNVN,,117.233.655,12.671.860,,,117233655.0,12671860.0
16,16,16,Tiền gửi và vay các tổ chức tín dụng khác,,(5.513.320),(856.747),,,-5513320.0,-856747.0
17,17,17,Tiền gửi của khách hàng,,117.837.842,89.400.151,,,117837842.0,89400151.0
18,18,18,Phát hành giấy tờ có giá,,7.996.641,7.998.306,,,7996641.0,7998306.0
19,19,19,"Các khoản vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",,23.153,-,,,23153.0,
21,21,21,Nợ hoạt động khác,,1.088.315,(808.725),,,1088315.0,-808725.0
22,22,22,Chi từ các quỹ của tổ chức tín dụng,,(1.121.435),(1.175.549),,,-1121435.0,-1175549.0
I,I,I,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,154.375.382,(2.520.207),,,154375382.0,-2520207.0
