row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,2017Triệu VND,2016Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__2017Triệu VND,numeric__2016Triệu VND(trình bày lại)
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,,(1.007.468),(1.270.224),,,-1007468.0,-1270224.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,5.314,5.646,,,5314.0,5646.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",,(2.396),(1.748),,,-2396.0,-1748.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(30.000),-,,,-30000.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,393.340,12.540,,,393340.0,12540.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,160.662,111.656,,,160662.0,111656.0
10,10,10,Tiền thu từ cổ tức đã có quyết định trả cổ tức năm trước,,-,7.123,,,,7123.0
II,II,II,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(480.548),(1.135.007),,,-480548.0,-1135007.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
04,04,04,Cổ tức đã trả cho cổ đông,,(2.878.215),(2.665.020),,,-2878215.0,-2665020.0
III,III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.878.215),(2.665.020),,,-2878215.0,-2665020.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,,151.016.619,(6.320.234),,,151016619.0,-6320234.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,35,156.420.245,162.740.479,,35.0,156420245.0,162740479.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,35,307.436.864,156.420.245,,35.0,307436864.0,156420245.0
