row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.936.708,541.970,76.774,2.555.452,1936708.0,541970.0,76774.0,2555452.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,35.801,48.493,-,84.294,35801.0,48493.0,,84294.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,(84.379),-,-,(84.379),-84379.0,,,-84379.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.888.130,590.463,76.774,2.555.367,1888130.0,590463.0,76774.0,2555367.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),38.482,477.060,61.561,577.103,38482.0,477060.0,61561.0,577103.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.311,29.122,-,37.433,8311.0,29122.0,,37433.0
Giảm khác trong năm,Hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,(3.078),-,-,(3.078),-3078.0,,,-3078.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,43.715,506.182,61.561,611.458,43715.0,506182.0,61561.0,611458.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.898.226,64.910,15.213,1.978.349,1898226.0,64910.0,15213.0,1978349.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.844.415,84.281,15.213,1.943.909,1844415.0,84281.0,15213.0,1943909.0
