row_label_raw,row_label_full,Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu,Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_1,Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_2,Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_3,Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_4,Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_5,Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_6,numeric__Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_1,numeric__Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_2,numeric__Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_3,numeric__Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_4,numeric__Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_5,numeric__Vốn và các quỹBáo cáo tình hình thay đổi vốn chủ sở hữu_6
,,,Vốn điều lệ,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Lợi nhuận chưa phân phối,Tổng cộng,,,,,,
,,,Vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Tổng cộngTriệu VND,Triệu VND,Triệu VND,,,,,,
Số dư tại ngày 1/1/2017 (trình bày lại),Số dư tại ngày 1/1/2017 (trình bày lại),Số dư tại ngày 1/1/2017 (trình bày lại),35.977.686,1.917.929,3.812.328,5.730.257,5.344.461,47.052.404,35977686.0,1917929.0,3812328.0,5730257.0,5344461.0,47052404.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.849.164,8.849.164,,,,,8849164.0,8849164.0
Tạm trích các quỹ dự trữ bắt buộc trong năm 2017,Tạm trích các quỹ dự trữ bắt buộc trong năm 2017,Tạm trích các quỹ dự trữ bắt buộc trong năm 2017,-,442.458,884.916,1.327.374,(1.327.374),-,,442458.0,884916.0,1327374.0,-1327374.0,
"Tạm trích quỹ khen thưởng, phúc lợi trong năm 2017","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2017","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2017",-,-,-,-,(1.501.302),(1.501.302),,,,,-1501302.0,-1501302.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,(8.803),(8.803),-,(8.803),,,-8803.0,-8803.0,,-8803.0
Điều chỉnh trích các quỹ năm 2016 theoNghị quyết của Đại hội đồng Cổ đông,Điều chỉnh trích các quỹ năm 2016 theoNghị quyết của Đại hội đồng Cổ đông,Điều chỉnh trích các quỹ năm 2016 theoNghị quyết của Đại hội đồng Cổ đông,-,2,4,6,(224.072),(224.066),,2.0,4.0,6.0,-224072.0,-224066.0
Trà cổ tức trong năm,Trà cổ tức trong năm,Trà cổ tức trong năm,-,-,-,-,(2.878.215),(2.878.215),,,,,-2878215.0,-2878215.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,381,381,,,,,381.0,381.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,35.977.686,2.360.389,4.688.445,7.048.834,8.263.043,51.289.563,35977686.0,2360389.0,4688445.0,7048834.0,8263043.0,51289563.0
