row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2017,Năm kết thúc ngày 31 tháng 12 năm 2017_1,Miền Bắc (*)Triệu VND,Miền Trungvà Tây NguyênTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2017_1,numeric__Miền Bắc (*)Triệu VND,numeric__Miền Trungvà Tây NguyênTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,64.786.371(55.539.813),11.444.290(8.274.306),31.155.777(21.954.477),(61.591.826)61.591.826,45.794.612(24.176.770),,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,64.786.371(55.539.813),11.444.290(8.274.306),31.155.777(21.954.477),(61.591.826)61.591.826,45.794.612(24.176.770),,,,,,
I,2 > I,I,Thu nhập lãi thuần,9.246.558,3.169.984,9.201.300,-,21.617.842,,9246558.0,3169984.0,9201300.0,,21617842.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,2.675.295,491.677,1.950.460,(1.504),5.115.928,,2675295.0,491677.0,1950460.0,-1504.0,5115928.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(2.663.333),(21.157),(77.496),1.504,(2.760.482),,-2663333.0,-21157.0,-77496.0,1504.0,-2760482.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,11.962,470.520,1.872.964,-,2.355.446,,11962.0,470520.0,1872964.0,,2355446.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.541.396,74.641,424.565,-,2.040.602,,1541396.0,74641.0,424565.0,,2040602.0
IV,2 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,471.229,-,-,-,471.229,,471229.0,,,,471229.0
V,2 > V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,(19.742),-,-,-,(19.742),,-19742.0,,,,-19742.0
5,2 > 5,5,Thu nhập từ hoạt động khác,911.563,304.469,1.131.046,-,2.347.078,,911563.0,304469.0,1131046.0,,2347078.0
6,2 > 6,6,Chi phí hoạt động khác,(200.273),(24.889),(31.133),-,(256.295),,-200273.0,-24889.0,-31133.0,,-256295.0
VI,2 > VI,VI,Lãi thuần từ hoạt động khác,711.290,279.580,1.099.913,-,2.090.783,,711290.0,279580.0,1099913.0,,2090783.0
VII,2 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",302.898,-,-,-,302.898,,302898.0,,,,302898.0
,,,Tổng thu nhập hoạt động,12.265.591,3.994.725,12.598.742,-,28.859.058,,12265591.0,3994725.0,12598742.0,,28859058.0
VIII,2 > VIII,VIII,Chi phí hoạt động,(7.620.233),(1.091.651),(2.938.373),-,(11.650.257),,-7620233.0,-1091651.0,-2938373.0,,-11650257.0
IX,2 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,4.645.358,2.903.074,9.660.369,-,17.208.801,,4645358.0,2903074.0,9660369.0,,17208801.0
X,2 > X,X,Chi phí dự phòng rủi ro tín dụng,(1.551.795),(760.192),(3.875.524),-,(6.187.511),,-1551795.0,-760192.0,-3875524.0,,-6187511.0
XI,2 > XI,XI,Tổng lợi nhuận trước thuế,3.093.563,2.142.882,5.784.845,-,11.021.290,,3093563.0,2142882.0,5784845.0,,11021290.0
7,2 > 7,7,Chi phí thuế TNDN hiện hành,(586.581),(428.576),(1.156.969),-,(2.172.126),,-586581.0,-428576.0,-1156969.0,,-2172126.0
XII,2 > XII,XII,Chi phí thuế TNDN,(586.581),(428.576),(1.156.969),-,(2.172.126),,-586581.0,-428576.0,-1156969.0,,-2172126.0
XIII,2 > XIII,XIII,Lợi nhuận sau thuế,2.506.982,1.714.306,4.627.876,-,8.849.164,,2506982.0,1714306.0,4627876.0,,8849164.0
