row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đầnTriệu VND",Tài sảncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đầnTriệu VND",numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),3.070.381,3.325.542,726.160,834.773,7.956.856,3070381.0,3325542.0,726160.0,834773.0,7956856.0
Tăng trong năm- Mua trong năm,Nguyên giá > Tăng trong năm- Mua trong năm,Tăng trong năm- Mua trong năm,341.021,351.368,104.446,184.073,980.908,341021.0,351368.0,104446.0,184073.0,980908.0
Tăng trong năm- Mua trong năm,Nguyên giá > Tăng trong năm- Mua trong năm,Tăng trong năm- Mua trong năm,323.785,351.340,104.446,143.603,923.174,323785.0,351340.0,104446.0,143603.0,923174.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,17.236,28,-,40.470,57.734,17236.0,28.0,,40470.0,57734.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(3.473),(31.414),(18.088),(10.913),(63.888),-3473.0,-31414.0,-18088.0,-10913.0,-63888.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(2.582),(31.211),(18.088),(10.848),(62.729),-2582.0,-31211.0,-18088.0,-10848.0,-62729.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(891),(203),-,(65),(1.159),-891.0,-203.0,,-65.0,-1159.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.407.929,3.645.496,812.518,1.007.933,8.873.876,3407929.0,3645496.0,812518.0,1007933.0,8873876.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),508.707,2.928.618,471.834,532.163,4.441.322,508707.0,2928618.0,471834.0,532163.0,4441322.0
Tăng trong năm- Khấu hao trong năm,Hao mòn lũy kế > Tăng trong năm- Khấu hao trong năm,Tăng trong năm- Khấu hao trong năm,147.837,250.555,77.675,154.292,630.359,147837.0,250555.0,77675.0,154292.0,630359.0
Tăng trong năm- Khấu hao trong năm,Hao mòn lũy kế > Tăng trong năm- Khấu hao trong năm,Tăng trong năm- Khấu hao trong năm,147.139,250.555,77.675,153.794,629.163,147139.0,250555.0,77675.0,153794.0,629163.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,698,-,-,498,1.196,698.0,,,498.0,1196.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(2.894),(31.396),(18.088),(10.698),(63.076),-2894.0,-31396.0,-18088.0,-10698.0,-63076.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(1.636),(31.193),(18.088),(10.695),(61.612),-1636.0,-31193.0,-18088.0,-10695.0,-61612.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(1.258),(203),-,(3),(1.464),-1258.0,-203.0,,-3.0,-1464.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,653.650,3.147.777,531.421,675.757,5.008.605,653650.0,3147777.0,531421.0,675757.0,5008605.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),2.561.674,396.924,254.326,302.610,3.515.534,2561674.0,396924.0,254326.0,302610.0,3515534.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.754.279,497.719,281.097,332.176,3.865.271,2754279.0,497719.0,281097.0,332176.0,3865271.0
