row_label_raw,row_label_full,col_0,2017Triệu VND,2016Triệu VND(trình bày lại),numeric__2017Triệu VND,numeric__2016Triệu VND(trình bày lại)
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",226.557,210.119,226557.0,210119.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,6.550.579,5.216.406,6550579.0,5216406.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Chi lương và phụ cấp (Thuyết minh 36),Trong đó: > - Chi lương và phụ cấp (Thuyết minh 36),- Chi lương và phụ cấp (Thuyết minh 36),6.114.670,4.825.715,6114670.0,4825715.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,303.099,273.258,303099.0,273258.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,1.397,827,1397.0,827.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,2.122.592,2.033.152,2122592.0,2033152.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Khấu hao tài sản cố định,Trong đó: > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,666.596,678.075,666596.0,678075.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,2.286.802,1.978.283,2286802.0,1978283.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",444.889,355.746,444889.0,355746.0
Chi dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(e)),Trong đó: > Chi dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(e)),Chi dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(e)),18.838,85.093,18838.0,85093.0
Chi phí hoạt động khác,Trong đó: > Chi phí hoạt động khác,Chi phí hoạt động khác,-,(2.027),,-2027.0
,,,11.650.257,9.876.772,11650257.0,9876772.0
