row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty có cùng lãnh đạo chủ chốt,Mua hàng hóa dịch vụ,18.523.800.080,3.990.003.217,,,18523800080.0,3990003217.0
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty có cùng lãnh đạo chủ chốt,Thanh toán tiền hàng,18.146.087.155,7.678.981.926,,,18146087155.0,7678981926.0
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty có cùng lãnh đạo chủ chốt,Doanh thu bán hàng và cung cấp dịch vụ,37.957.060,23.135.253.583,,,37957060.0,23135253583.0
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty có cùng lãnh đạo chủ chốt,Thu tiền hàng,40.993.625,21.614.333.966,,,40993625.0,21614333966.0
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty liên kết,Cổ tức được chia,4.703.974.200,4.703.974.200,,,4703974200.0,4703974200.0
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty liên kết,Nhận tiền cổ tức,4.703.974.200,4.703.974.200,,,4703974200.0,4703974200.0
Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty liên kết của công ty con (Kể từ tháng 11 năm 2022),Mua hàng hóa dịch vụ,17.836.100.301,4.172.130.652,,,17836100301.0,4172130652.0
Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty liên kết của công ty con (Kể từ tháng 11 năm 2022),Thanh toán tiền hàng,19.275.991.912,3.027.571.400,,,19275991912.0,3027571400.0
Công ty Nam Việt,Công ty Nam Việt,Công ty Nam Việt,Công ty liên kết,Cổ tức được chia,1.029.000.000,27.479.452,,,1029000000.0,27479452.0
Công ty Nam Việt,Công ty Nam Việt,Công ty Nam Việt,Công ty liên kết,Nhận cổ tức bằng tiền,1.029.000.000,27.479.452,,,1029000000.0,27479452.0
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt của công ty APH,Tạm ứng,1.681.477.886,4.761.994.126,,,1681477886.0,4761994126.0
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt của công ty APH,Hoàn ứng,1.273.484.589,6.132.375.090,,,1273484589.0,6132375090.0
