row_label_raw,row_label_full,Thông tin các khoản đầu tư vào công ty liên kết như sau:,Thông tin các khoản đầu tư vào công ty liên kết như sau:_1,Thông tin các khoản đầu tư vào công ty liên kết như sau:_2,Thông tin các khoản đầu tư vào công ty liên kết như sau:_3,Thông tin các khoản đầu tư vào công ty liên kết như sau:_4,Thông tin các khoản đầu tư vào công ty liên kết như sau:_5,Thông tin các khoản đầu tư vào công ty liên kết như sau:_6,numeric__Thông tin các khoản đầu tư vào công ty liên kết như sau:_1,numeric__Thông tin các khoản đầu tư vào công ty liên kết như sau:_2,numeric__Thông tin các khoản đầu tư vào công ty liên kết như sau:_3,numeric__Thông tin các khoản đầu tư vào công ty liên kết như sau:_4,numeric__Thông tin các khoản đầu tư vào công ty liên kết như sau:_5,numeric__Thông tin các khoản đầu tư vào công ty liên kết như sau:_6
Tên đơn vị,Tên đơn vị,Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
Tên đơn vị,Tên đơn vị,Tên đơn vị,Địa chỉ,Hoạt động chính,Tỷ lệ vốn nằm giữ trực tiếp (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ vốn nằm giữ trực tiếp (%),Tỷ lệ quyền biểu quyết (%),,,,,,
"Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"")","Tên đơn vị > Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"")","Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"")","Tổ 12, phường Phúc Lợi, quận Long Biên, thành phố Hà Nội, Việt Nam",Sản xuất. kinh doanh các sản phẩm nhựa loại khuôn mẫu,"47,44%","47,44%","47,44%","47,44%",,,0.4744,0.4744,0.4744,0.4744
"Công ty Cổ phần Nhựa Bao bì Vinh (""Công ty Nhựa Bao bì Vinh"")","Tên đơn vị > Công ty Cổ phần Nhựa Bao bì Vinh (""Công ty Nhựa Bao bì Vinh"")","Công ty Cổ phần Nhựa Bao bì Vinh (""Công ty Nhựa Bao bì Vinh"")","Khối 8, phường Bến Thủy, thành phố Vinh, tỉnh Nghệ An, Việt Nam",Sản xuất. kinh doanh nhựa và cao su tổng hợp dạng nguyên sinh,"34,84%","34,84%","34,84%","34,84%",,,0.34840000000000004,0.34840000000000004,0.34840000000000004,0.34840000000000004
Công ty Cổ phần giải pháp và dịch vụ phần mềm Nam Việt,Tên đơn vị > Công ty Cổ phần giải pháp và dịch vụ phần mềm Nam Việt,Công ty Cổ phần giải pháp và dịch vụ phần mềm Nam Việt,"BT4 lô E9 Vimexco, đường Phạm Hùng, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội, Việt Nam",Xuất bản phần mềm,49%,49%,49%,49%,,,0.49,0.49,0.49,0.49
"Công ty Cổ phần Sản xuất PBAT An Phát (""Công ty PBAT"")","Tên đơn vị > Công ty Cổ phần Sản xuất PBAT An Phát (""Công ty PBAT"")","Công ty Cổ phần Sản xuất PBAT An Phát (""Công ty PBAT"")","Lô CN5-04 Khu Phi thuế quan và Khu Công nghiệp Nam Đình Vũ thuộc Khu Kinh tế Đình Vũ - Cát Hải, phường Đông Hải 2,quận Hải An, thành phố Hải Phòng, Việt Nam",Sản xuất sản phẩm từ plastic và cao su tổng hợp dạng nguyên sinh,-,-,"3,24%","30,34%",,,,,0.032400000000000005,0.3034
