row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,"Bán hàng hóa, dịch vụ cho thuê xe và cho thuê kho",19.865.316.374,402.574.067.084,,,19865316374.0,402574067084.0
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa và dịch vụ cho thuê xe,-,117.425.383.022,,,,117425383022.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Bán hàng hóa và dịch vụ cho thuê kho,1.180.802.777,2.823.493.845,,,1180802777.0,2823493845.0
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con,Bán hàng hóa,2.407.756.792,26.207.500.618,,,2407756792.0,26207500618.0
Công ty An Vinh,Công ty An Vinh,Công ty An Vinh,Công ty con,Bán hàng hóa và dịch vụ cho thuê xe,557.763.926,13.562.933.790,,,557763926.0,13562933790.0
Công ty Ankor,Công ty Ankor,Công ty Ankor,Công ty có cùng lãnh đạo chủ chốt,Bán hàng hóa,5.088.104.000,8.184.885.120,,,5088104000.0,8184885120.0
Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty có cùng lãnh đạo chủ chốt,Bán hàng hóa và cho thuê kho,-,4.521.708.348,,,,4521708348.0
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Bán hàng hóa,-,2.166.946.650,,,,2166946650.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Bán hàng hóa và dịch vụ cho thuê xe,442.750.000,-,,,442750000.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,Bán hàng hóa và dịch vụ cho thuê,246.420.280,92.393.200,,,246420280.0,92393200.0
,,,,,29.788.914.149,577.559.311.677,,,29788914149.0,577559311677.0
