row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VNDTổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,78.087.072.029,1.075.438.000,79.162.510.029,78087072029.0,1075438000.0,79162510029.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,78.087.072.029,1.075.438.000,79.162.510.029,78087072029.0,1075438000.0,79162510029.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,284.500.000,284.500.000,,284500000.0,284500000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,17.414.138.554,481.247.716,17.895.386.270,17414138554.0,481247716.0,17895386270.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,2.532.803.640,135.704.604,2.668.508.244,2532803640.0,135704604.0,2668508244.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,19.946.942.194,616.952.320,20.563.894.514,19946942194.0,616952320.0,20563894514.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,60.672.933.475,594.190.284,61.267.123.759,60672933475.0,594190284.0,61267123759.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,58.140.129.835,458.485.680,58.598.615.515,58140129835.0,458485680.0,58598615515.0
