row_label_raw,row_label_full,Phải trả bên liên quan (Thuyết minh số 30),Đơn vị tính: VND > Số cuối năm > 4.566.576.078,Đơn vị tính: VND > Số đầu năm > 698.049.993,numeric__Đơn vị tính: VND > Số cuối năm > 4.566.576.078,numeric__Đơn vị tính: VND > Số đầu năm > 698.049.993
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,-,152.363.100,,152363100.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,109.328.043,132.671.543,109328043.0,132671543.0
Phải trả khác,Phải trả khác,Phải trả khác,373.483.641,888.384.900,373483641.0,888384900.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.049.387.762,1.871.469.536,5049387762.0,1871469536.0
