row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải,truyếndẫn",Thiết bịvăn phòng,"Cây lâu năm,sức vật lâm việcvà cho sản phẩm",Tài sản cố địnhhữu hình khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải,truyếndẫn",numeric__Thiết bịvăn phòng,"numeric__Cây lâu năm,sức vật lâm việcvà cho sản phẩm",numeric__Tài sản cố địnhhữu hình khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
"Số đầu năm- Mua trong năm- Đầu tư XDCB hoànthành- Thanh lý, nhượng bán","Số đầu năm- Mua trong năm- Đầu tư XDCB hoànthành- Thanh lý, nhượng bán","Số đầu năm- Mua trong năm- Đầu tư XDCB hoànthành- Thanh lý, nhượng bán",757.034.959.399- 4.692.764.557- 761.727.723.956,1.650.569.947.4119.734.392.912- 1.660.304.340.323,155.103.463.8704.228.980.000- - (8.632.405.524),7.843.412.734105.000.000- - 7.948.412.734,15.501.270.0002.552.880.000- 18.054.150.000,23.656.782.610- - (504.715.356),2.609.709.836.02416.621.252.9124.692.764.557(9.137.120.880),,,,,,,
Số cuối nămTrong đó:Dã khấu hao hết,"Số đầu năm- Mua trong năm- Đầu tư XDCB hoànthành- Thanh lý, nhượng bán > Số cuối nămTrong đó:Dã khấu hao hết",Số cuối nămTrong đó:Dã khấu hao hết,18.168.948.745,294.124.209.663,50.074.514.555,2.270.433.787,2.466.500.000,4.860.404.296,371.965.011.046,18168948745.0,294124209663.0,50074514555.0,2270433787.0,2466500000.0,4860404296.0,371965011046.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,,
"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán",193.326.072.28534.562.474.066- 227.888.546.351,1.042.470.893.860128.654.480.279- 1.171.125.374.139,108.240.632.19213.263.968.985(8.025.225.455),5.900.663.841888.080.287- 6.788.744.128,8.128.838.276904.214.839- 9.033.053.115,17.126.553.9331.824.780.385(504.715.356),1.375.193.654.387180.097.998.841(8.529.940.811),,,,,,,
Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,Số cuối nămGiá trị còn lại:,,,,,,,
Số đầu nămSố cuối năm,Số cuối nămGiá trị còn lại: > Số đầu nămSố cuối năm,Số đầu nămSố cuối năm,563.708.887.114533.839.177.605,608.099.053.551489.178.966.184,46.862.831.67837.220.662.624,1.942.748.8931.159.668.606,7.372.431.7249.021.096.885,6.530.228.6774.705.448.292,1.234.516.181.6371.075.125.020.196,5.6370888711453386e+23,6.080990535514892e+23,4.6862831678372205e+21,1.9427488931159667e+19,7.37243172490211e+19,6.530228677470545e+19,1.2345161816371074e+25
