row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Đơn vị tính: VND > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Đơn vị tính: VND > Phải trả người bán ngắn hạn (Thuyết minh số 15.1)
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Mua hàng hóa,3.547.238.528,23.490.677.650,,,3547238528.0,23490677650.0
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Mua hàng hóa,8.314.992.751,-,,,8314992751.0,
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Mua hàng hóa,-,18.158.433.300,,,,18158433300.0
Công ty An Tín,Công ty An Tín,Công ty An Tín,Công ty con,Mua dịch vụ vận tải,1.666.946.167,3.935.145.162,,,1666946167.0,3935145162.0
Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty liên kết của công ty con (Kể từ tháng 11 năm 2022),Mua hàng hóa,1.337.120.160,1.186.368.360,,,1337120160.0,1186368360.0
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty con,Mua hàng hóa,5.642.389.823,-,,,5642389823.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,Mua hàng hóa và dịch vụ,19.097.613,85.447.136,,,19097613.0,85447136.0
,,,,,20.527.785.042,46.856.071.608,,,20527785042.0,46856071608.0
