row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí vận chuyển và xuất nhập khẩu,Chi phí bán hàng > Chi phí vận chuyển và xuất nhập khẩu,Chi phí vận chuyển và xuất nhập khẩu,96.983.321.386,236.016.801.868,96983321386.0,236016801868.0
Chi phí quảng cáo và hoa hồng bán hàng,Chi phí bán hàng > Chi phí quảng cáo và hoa hồng bán hàng,Chi phí quảng cáo và hoa hồng bán hàng,65.712.005.002,1.167.607.183,65712005002.0,1167607183.0
Chi phí khấu hao tài sản cố định,Chi phí bán hàng > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,8.491.327.374,10.427.604.126,8491327374.0,10427604126.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,7.336.053.422,5.602.947.656,7336053422.0,5602947656.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.340.731.411,4.489.570.105,9340731411.0,4489570105.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,1.087.060.831,2.272.526.479,1087060831.0,2272526479.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,188.950.499.426,259.977.057.417,188950499426.0,259977057417.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,24.934.729.803,22.810.949.479,24934729803.0,22810949479.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,19.436.822.366,14.851.357.457,19436822366.0,14851357457.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,20.479.269.813,16.102.498.364,20479269813.0,16102498364.0
"Thuế, phí và lệ phí","Chi phí quản lý doanh nghiệp > Thuế, phí và lệ phí","Thuế, phí và lệ phí",5.356.623.262,7.525.148.857,5356623262.0,7525148857.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,6.620.867.597,5.882.630.213,6620867597.0,5882630213.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,76.828.312.841,67.172.584.370,76828312841.0,67172584370.0
