row_label_raw,row_label_full,Đầu tư vào công ty con(Thuyết minh số 14.1),Số cuối năm > Giá gốc > 2.807.566.671.231,Số cuối năm > Dự phòng > (256.923.307.651),Số cuối năm > Giá trị hợp lý (i),Số đầu năm > Giá gốc > 2.407.746.671.231,Số đầu năm > Dự phòng > (201.107.266.281),Số đầu năm > Giá trị hợp lý (i),numeric__Số cuối năm > Giá gốc > 2.807.566.671.231,numeric__Số cuối năm > Dự phòng > (256.923.307.651),numeric__Số cuối năm > Giá trị hợp lý (i),numeric__Số đầu năm > Giá gốc > 2.407.746.671.231,numeric__Số đầu năm > Dự phòng > (201.107.266.281),numeric__Số đầu năm > Giá trị hợp lý (i)
- Công ty An Tiến (iv),- Công ty An Tiến (iv),- Công ty An Tiến (iv),407.298.831.231,-,216.584.510.880,407.298.831.231,-,166.883.214.540,407298831231.0,,216584510880.0,407298831231.0,,166883214540.0
- Công ty An Phát Complex (ii),- Công ty An Phát Complex (ii),- Công ty An Phát Complex (ii),921.840.000.000,-,(i),909.600.000.000,-,(i),921840000000.0,,,909600000000.0,,
- Công ty An Phát Complex 1 (iii),- Công ty An Phát Complex 1 (iii),- Công ty An Phát Complex 1 (iii),295.560.000.000,-,(i),-,-,(i),295560000000.0,,,,,
- Công ty An Vinh,- Công ty An Vinh,- Công ty An Vinh,461.395.540.000,-,(i),461.395.540.000,-,(i),461395540000.0,,,461395540000.0,,
"- An Phat International, Inc.","- An Phat International, Inc.","- An Phat International, Inc.",455.040.300.000,(193.886.852.368),(i),455.040.300.000,(129.453.480.042),(i),455040300000.0,-193886852368.0,,455040300000.0,-129453480042.0,
- Công ty An Thành,- Công ty An Thành,- Công ty An Thành,174.412.000.000,(63.036.455.283),(i),174.412.000.000,(71.653.786.239),(i),174412000000.0,-63036455283.0,,174412000000.0,-71653786239.0,
- Công ty PBAT,- Công ty PBAT,- Công ty PBAT,92.020.000.000,-,(i),-,-,(i),92020000000.0,,,,,
Đầu tư vào công ty liên kết(Thuyết minh số 14.2),Đầu tư vào công ty liên kết(Thuyết minh số 14.2),Đầu tư vào công ty liên kết(Thuyết minh số 14.2),1.143.203.927.841,-,,1.161.023.927.841,-,,1143203927841.0,,,1161023927841.0,,
- Công ty Nhựa Hà Nội (iv),- Công ty Nhựa Hà Nội (iv),- Công ty Nhựa Hà Nội (iv),1.014.494.728.614,-,636.134.257.600,1.014.494.728.614,-,452.899.933.400,1014494728614.0,,636134257600.0,1014494728614.0,,452899933400.0
- Công ty Nhựa Bao bi Vinh,- Công ty Nhựa Bao bi Vinh,- Công ty Nhựa Bao bi Vinh,74.316.719.775,-,57.493.018.000,74.316.719.775,-,64.026.315.500,74316719775.0,,57493018000.0,74316719775.0,,64026315500.0
- Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt,- Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt,- Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt,54.392.479.452,-,(i),54.392.479.452,-,(i),54392479452.0,,,54392479452.0,,
- Công ty PBAT,- Công ty PBAT,- Công ty PBAT,-,-,(i),17.820.000.000,-,(i),,,,17820000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.950.770.599.072,(256.923.307.651),,3.568.770.599.072,(201.107.266.281),,3950770599072.0,-256923307651.0,,3568770599072.0,-201107266281.0,
