row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Chênh lệch tỷ giá,Đơn vị tính: VND Số cuối năm > Giá trị,Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Chênh lệch tỷ giá,numeric__Đơn vị tính: VND Số cuối năm > Giá trị,numeric__Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
Vay ngắn hàng,Vay ngắn hạn > Vay ngắn hàng,Vay ngắn hàng,19.1,907.177.451.299,907.177.451.299,3.226.805.492.557,(2.897.868.504.789),1.001.477.982,1.237.115.917.049,1.237.115.917.049,191.0,907177451299.0,907177451299.0,3226805492557.0,-2897868504789.0,1001477982.0,1237115917049.0,1237115917049.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,19.2,165.396.027.397,165.396.027.397,129.745.000.011,(165.396.027.397),-,129.745.000.011,129.745.000.011,192.0,165396027397.0,165396027397.0,129745000011.0,-165396027397.0,,129745000011.0,129745000011.0
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,19.3,-,-,467.625.378.782,-,-,467.625.378.782,467.625.378.782,193.0,,,467625378782.0,,,467625378782.0,467625378782.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.072.573.478.696,1.072.573.478.696,3.824.175.871.350,(3.063.264.532.186),1.001.477.982,1.834.486.295.842,1.834.486.295.842,,1072573478696.0,1072573478696.0,3824175871350.0,-3063264532186.0,1001477982.0,1834486295842.0,1834486295842.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,19.2,311.531.736.356,311.531.736.356,-,(139.008.489.997),-,172.523.246.359,172.523.246.359,192.0,311531736356.0,311531736356.0,,-139008489997.0,,172523246359.0,172523246359.0
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,19.3,464.775.833.330,464.775.833.330,2.849.545.452,(467.625.378.782),-,-,-,193.0,464775833330.0,464775833330.0,2849545452.0,-467625378782.0,,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,776.307.569.686,776.307.569.686,2.849.545.452,(606.633.868.779),-,172.523.246.359,172.523.246.359,,776307569686.0,776307569686.0,2849545452.0,-606633868779.0,,172523246359.0,172523246359.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.848.881.048.382,1.848.881.048.382,3.827.025.416.802,(3.669.898.400.965),1.001.477.982,2.007.009.542.201,2.007.009.542.201,,1848881048382.0,1848881048382.0,3827025416802.0,-3669898400965.0,1001477982.0,2007009542201.0,2007009542201.0
