row_label_raw,row_label_full,Ngân hàng > Các khoản vay ngân hàng bằng VND,Ngày 31 tháng 12 năm2023(VND) > 302.268.246.370,Kỳ hạn trả gốc và lãi vay > Thời hạn vay theo từng khế ước nhận nợ. Lãi vay trả hàng tháng.Ngày đáo hạn cuối cùng vào tháng 6 năm 2026.,"Lãi suất (%/năm) > 5,55% - 10%",Hình thứcđảm bảo > (ii),numeric__Ngày 31 tháng 12 năm2023(VND) > 302.268.246.370,numeric__Kỳ hạn trả gốc và lãi vay > Thời hạn vay theo từng khế ước nhận nợ. Lãi vay trả hàng tháng.Ngày đáo hạn cuối cùng vào tháng 6 năm 2026.,"numeric__Lãi suất (%/năm) > 5,55% - 10%",numeric__Hình thứcđảm bảo > (ii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,302.268.246.370,,,,302268246370.0,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,129.745.000.011172.523.246.359,,,,1.2974500001117252e+23,,,
