row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,Hoạt động sản xuất > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,Hoạt động kinh doanh thương mại > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,Hoạt động khác > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,Điều chỉnh và loại trừ > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,Đơn vị tính: VND > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,numeric__Hoạt động sản xuất > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,numeric__Hoạt động kinh doanh thương mại > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,numeric__Hoạt động khác > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,numeric__Điều chỉnh và loại trừ > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND > Tại ngày 31 tháng 12 năm 2022 và cho giai đoạn tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,3.771.661.812.783,1.663.808.601.387,16.123.811.706,,5.451.594.225.876,3771661812783.0,1663808601387.0,16123811706.0,,5451594225876.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,3.771.661.812.783,1.663.808.601.387,16.123.811.706,,5.451.594.225.876,3771661812783.0,1663808601387.0,16123811706.0,,5451594225876.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,629.411.957.100,(33.192.652.859),16.036.607.603,,612.255.911.844,629411957100.0,-33192652859.0,16036607603.0,,612255911844.0
Thu nhập/(chi phí) không phân bổ (i),Kết quả > Thu nhập/(chi phí) không phân bổ (i),Thu nhập/(chi phí) không phân bổ (i),,,,,(544.233.009.799),,,,,-544233009799.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,68.022.902.045,,,,,68022902045.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(34.181.927.693),,,,,-34181927693.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,33.840.974.352,,,,,33840974352.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,-,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,1.103.056.793.741,500.766.016.775,2.263.586.971,,1.606.086.397.487,1103056793741.0,500766016775.0,2263586971.0,,1606086397487.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,5.867.539.018.235,,,,,5867539018235.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,7.473.625.415.722,,,,,7473625415722.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,352.125.605.433,184.219.804.974,257.301.462,,536.602.711.869,352125605433.0,184219804974.0,257301462.0,,536602711869.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,1.905.316.324.680,,,,,1905316324680.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,2.441.919.036.549,,,,,2441919036549.0
