row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.593.832.678.874,1.593.832.678.874,2.761.814.663.586,2.466.988.989.594,1.888.658.352.866,1.888.658.352.866,1593832678874.0,1593832678874.0,2761814663586.0,2466988989594.0,1888658352866.0,1888658352866.0
Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),66.844.455.182,66.844.455.182,205.522.936.759,66.844.455.182,205.522.936.759,205.522.936.759,66844455182.0,66844455182.0,205522936759.0,66844455182.0,205522936759.0,205522936759.0
Cộng,Cộng,Cộng,1.660.677.134.056,1.660.677.134.056,2.967.337.600.345,2.533.833.444.776,2.094.181.289.625,2.094.181.289.625,1660677134056.0,1660677134056.0,2967337600345.0,2533833444776.0,2094181289625.0,2094181289625.0
19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,19. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Số đầu năm,Số đầu năm,Phát sinh trong năm,Phát sinh trong năm,Số cuối năm,Số cuối năm,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Chỉ tiêu > Vay dài hạn,Vay dài hạn,511.490.036.688,511.490.036.688,209.997.550.923,66.844.455.182,654.643.132.429,654.643.132.429,511490036688.0,511490036688.0,209997550923.0,66844455182.0,654643132429.0,654643132429.0
Cộng,Chỉ tiêu > Cộng,Cộng,511.490.036.688,511.490.036.688,209.997.550.923,66.844.455.182,654.643.132.429,654.643.132.429,511490036688.0,511490036688.0,209997550923.0,66844455182.0,654643132429.0,654643132429.0
Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,,,,,,
,,,,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,,,
,,,,VND,VND,VND,,,,,,,,
Trong vòng một năm,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trong vòng một năm,Trong vòng một năm,,205.522.936.759,66.844.455.182,66.844.455.182,,,,205522936759.0,66844455182.0,66844455182.0,,
Trong năm thứ hai,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trong năm thứ hai,Trong năm thứ hai,,207.090.273.318,170.523.344.939,170.523.344.939,,,,207090273318.0,170523344939.0,170523344939.0,,
Từ năm thứ ba đến năm thứ năm,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Từ năm thứ ba đến năm thứ năm,Từ năm thứ ba đến năm thứ năm,,242.029.922.352,274.122.236.567,274.122.236.567,,,,242029922352.0,274122236567.0,274122236567.0,,
,,,,654.643.132.429,511.490.036.688,511.490.036.688,,,,654643132429.0,511490036688.0,511490036688.0,,
Trừ: số phải trả trong vòng 12 tháng(được trình bày ở phần nợ ngắn hạn),Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trừ: số phải trả trong vòng 12 tháng(được trình bày ở phần nợ ngắn hạn),Trừ: số phải trả trong vòng 12 tháng(được trình bày ở phần nợ ngắn hạn),,205.522.936.759,66.844.455.182,66.844.455.182,,,,205522936759.0,66844455182.0,66844455182.0,,
Số phải trả sau 12 tháng,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,,449.120.195.670,444.645.581.506,444.645.581.506,,,,449120195670.0,444645581506.0,444645581506.0,,
