row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.534.820.123.793,4.160.897.994.005,100.0,,4534820123793.0,4160897994005.0
I. Tiên và các khoản tương đương tiền,I. Tiên và các khoản tương đương tiền,I. Tiên và các khoản tương đương tiền,110,5,976.978.985.482,735.084.146.290,110.0,5.0,976978985482.0,735084146290.0
1. Tiền,1. Tiền,1. Tiền,111,,195.542.517.681,89.165.478.784,111.0,,195542517681.0,89165478784.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,781.436.467.801,645.918.667.506,112.0,,781436467801.0,645918667506.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.680.039.336.332,1.065.618.640.271,120.0,6.0,1680039336332.0,1065618640271.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,1.680.039.336.332,1.065.618.640.271,123.0,,1680039336332.0,1065618640271.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,808.599.128.890,976.036.039.001,130.0,,808599128890.0,976036039001.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,776.734.179.297,1.087.151.316.762,131.0,,776734179297.0,1087151316762.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,42.405.677.207,38.173.919.833,132.0,,42405677207.0,38173919833.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,60.399.903.955,52.653.328.211,136.0,7.0,60399903955.0,52653328211.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(70.940.631.569),(201.942.525.805),137.0,,-70940631569.0,-201942525805.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,406.625.156.086,505.586.733.297,140.0,9.0,406625156086.0,505586733297.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,406.625.156.086,505.586.733.297,141.0,,406625156086.0,505586733297.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,662.577.517.003,878.572.435.146,150.0,,662577517003.0,878572435146.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,10,524.851.987.672,694.160.634.766,151.0,10.0,524851987672.0,694160634766.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,21.610.034.722,65.416.600.789,152.0,,21610034722.0,65416600789.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,11,116.115.494.609,118.995.199.591,153.0,11.0,116115494609.0,118995199591.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.993.337.702.416,3.784.506.246.869,200.0,,3993337702416.0,3784506246869.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,16.652.431.902,4.517.163.833,210.0,,16652431902.0,4517163833.0
