row_label_raw,row_label_full,Chi tiêu,Số đầu năm(Trình bày lại),Phát sinh trong năm > Số phải thu/nộp,Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Phát sinh trong năm > Số phải thu/nộp,numeric__Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,20.491.430.237,15.112.998.887,5.378.431.350,,20491430237.0,15112998887.0,5378431350.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,118.922.577.057,6.056.675.673,14.647.864.863,110.331.387.867,118922577057.0,6056675673.0,14647864863.0,110331387867.0
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,72.622.534,4.054.418.406,3.721.365.548,405.675.392,72622534.0,4054418406.0,3721365548.0,405675392.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,118.995.199.591,30.602.524.316,33.482.229.298,116.115.494.609,118995199591.0,30602524316.0,33482229298.0,116115494609.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,17.091.712.113,372.230.841.609,365.901.436.517,23.421.117.205,17091712113.0,372230841609.0,365901436517.0,23421117205.0
- Thuế GTGT đầu ra,b) Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,17.091.712.113,284.344.910.014,278.015.504.922,23.421.117.205,17091712113.0,284344910014.0,278015504922.0,23421117205.0
- Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,87.885.931.595,87.885.931.595,-,,87885931595.0,87885931595.0,
Thuế tiêu thụ đặc biệt,b) Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,3.815.620,3.815.620,-,,3815620.0,3815620.0,
Thuế nhập khẩu,b) Các khoản phải trả > Thuế nhập khẩu,Thuế nhập khẩu,284.787,4.985.570.835,4.985.855.622,-,284787.0,4985570835.0,4985855622.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,86.879.315.648,165.468.733.057,198.524.842.841,53.823.205.864,86879315648.0,165468733057.0,198524842841.0,53823205864.0
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,3.408.972.384,39.893.004.021,40.898.018.926,2.403.957.479,3408972384.0,39893004021.0,40898018926.0,2403957479.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,190.000.000,190.000.000,-,,190000000.0,190000000.0,
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.092.875.047,30.323.354.167,31.355.172.216,2.061.056.998,3092875047.0,30323354167.0,31355172216.0,2061056998.0
Thuế khác,b) Các khoản phải trả > Thuế khác,Thuế khác,316.097.337,9.379.649.854,9.352.846.710,342.900.481,316097337.0,9379649854.0,9352846710.0,342900481.0
Các khoản phải nộp khác,b) Các khoản phải trả > Các khoản phải nộp khác,Các khoản phải nộp khác,-,4.590.778,4.590.778,-,,4590778.0,4590778.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,107.380.284.932,582.586.555.920,610.318.560.304,79.648.280.548,107380284932.0,582586555920.0,610318560304.0,79648280548.0
