row_label_raw,row_label_full,col_0,Nhà xuǒng và vát kiěn trúc,Máy móc và thiết bị,Phuǒng tiēn vận tải,Thiết bị quản lý,Tài sản cố định khác,Tổng cộng,numeric__Nhà xuǒng và vát kiěn trúc,numeric__Máy móc và thiết bị,numeric__Phuǒng tiēn vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,154.321.645.565,4.461.729.571.569,53.996.139.656,576.866.532.068,84.391.738.574,5.331.305.627.432,154321645565.0,4461729571569.0,53996139656.0,576866532068.0,84391738574.0,5331305627432.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,881.209.869.847,-,7.515.819.544,-,888.725.689.391,,881209869847.0,,7515819544.0,,888725689391.0
Tăng do mua sám,NGUYÊN GIÁ > Tăng do mua sám,Tăng do mua sám,-,823.614.547.022,-,7.515.819.544,-,831.130.366.566,,823614547022.0,,7515819544.0,,831130366566.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,57.595.322.825,-,-,-,57.595.322.825,,57595322825.0,,,,57595322825.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,177.971.734.944,(5.199.118.707),(114.216.611.286),(58.556.004.951),-,,177971734944.0,-5199118707.0,-114216611286.0,-58556004951.0,
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,-,-,-,5.275.845.986,-,5.275.845.986,,,,5275845986.0,,5275845986.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,4.182.775.419,677.087.727,455.319.623,-,5.315.182.769,,4182775419.0,677087727.0,455319623.0,,5315182769.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,4.182.775.419,677.087.727,455.319.623,-,5.315.182.769,,4182775419.0,677087727.0,455319623.0,,5315182769.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,154.321.645.565,5.516.728.400.941,48.119.933.222,474.986.266.689,25.835.733.623,6.219.991.980.040,154321645565.0,5516728400941.0,48119933222.0,474986266689.0,25835733623.0,6219991980040.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,29.198.438.995,1.832.659.810.546,25.431.281.693,487.613.577.029,24.154.681.320,2.399.057.789.583,29198438995.0,1832659810546.0,25431281693.0,487613577029.0,24154681320.0,2399057789583.0
