row_label_raw,row_label_full,"Lợi nhuận trong năm phân bố cho các cổ đông sở hữu cổ phiếu phổ thông của công ty mẹ (VND)- Trích Quỹ Khen thưởng, phúc lợi từ lợi nhuận công ty mẹ theo Nghị quyết Đại hội đồng cổ đông (VND)",Năm nay > 918.091.637.496(99.651.672.838),Năm trước(Trình bày lại) > 827.701.610.355(85.603.602.749),numeric__Năm nay > 918.091.637.496(99.651.672.838),numeric__Năm trước(Trình bày lại) > 827.701.610.355(85.603.602.749)
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),818.439.964.658,742.098.007.606,818439964658.0,742098007606.0
Số cổ phiếu phổ thông bình quân lưu hành trong năm (cổ phiếu),Số cổ phiếu phổ thông bình quân lưu hành trong năm (cổ phiếu),Số cổ phiếu phổ thông bình quân lưu hành trong năm (cổ phiếu),137.048.594,137.048.594,137048594.0,137048594.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),5.972,5.415,5972.0,5415.0
