row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.326.381.149.828,5.189.439.115.396,,300.0,,5326381149828.0,5189439115396.0
I.,I.,I.,Nợ ngắn hạn,310,,4.827.411.086.308,4.685.023.623.042,,310.0,,4827411086308.0,4685023623042.0
I.,I.,I.,1. Phải trả người bán ngắn hạn,311,,766.687.189.254,1.104.562.640.453,,311.0,,766687189254.0,1104562640453.0
I.,I.,I.,2. Người mua trả tiễn trước ngắn hạn,312,,102.123.802.953,71.314.693.339,,312.0,,102123802953.0,71314693339.0
I.,I.,I.,3. Thuế và các khoản phải nộp Nhà nước,313,11,79.648.280.548,107.380.284.932,,313.0,11.0,79648280548.0,107380284932.0
I.,I.,I.,4. Phải trả người lao động,314,,4.488.486.421,5.080.662.238,,314.0,,4488486421.0,5080662238.0
I.,I.,I.,5. Chi phí phải trả ngắn hạn,315,16,441.048.229.060,325.986.851.472,,315.0,16.0,441048229060.0,325986851472.0
I.,I.,I.,6. Doanh thu chưa thực hiện ngắn hạn,318,15,868.489.337.153,1.143.144.690.854,,318.0,15.0,868489337153.0,1143144690854.0
I.,I.,I.,7. Phải trả ngắn hạn khác,319,17,318.028.402.729,132.732.630.441,,319.0,17.0,318028402729.0,132732630441.0
I.,I.,I.,8. Vay và nợ thuê tài chính ngắn hạn,320,18,2.094.181.289.625,1.660.677.134.056,,320.0,18.0,2094181289625.0,1660677134056.0
I.,I.,I.,9. Dự phòng phải trả ngắn hạn,321,,756.720.000,-,,321.0,,756720000.0,
I.,I.,I.,"10. Quỹ khen thưởng, phúc lợi",322,20,151.959.348.565,134.144.035.257,,322.0,20.0,151959348565.0,134144035257.0
II.,II.,II.,Nợ dài hạn,330,,498.970.063.520,504.415.492.354,,330.0,,498970063520.0,504415492354.0
II.,II.,II.,1. Doanh thu chưa thực hiện dài hạn,336,15,49.849.867.850,59.365.776.351,,336.0,15.0,49849867850.0,59365776351.0
II.,II.,II.,2. Phải trả dài hạn khác,337,,-,404.134.497,,337.0,,,404134497.0
II.,II.,II.,3. Vay và nợ thuê tài chính dài hạn,338,19,449.120.195.670,444.645.581.506,,338.0,19.0,449120195670.0,444645581506.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,3.201.776.676.381,2.755.965.125.478,,400.0,,3201776676381.0,2755965125478.0
I.,I.,I.,Vốn chủ sở hữu,410,21,3.201.776.676.381,2.755.965.125.478,,410.0,21.0,3201776676381.0,2755965125478.0
I.,I.,I.,1. Vốn góp của chủ sở hữu,411,,1.370.786.090.000,1.246.198.090.000,,411.0,,1370786090000.0,1246198090000.0
I.,I.,I.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.370.786.090.000,1.246.198.090.000,,,,1370786090000.0,1246198090000.0
I.,I.,I.,2. Thặng dư vốn cổ phần,412,,7.652.995.729,7.652.995.729,,412.0,,7652995729.0,7652995729.0
I.,I.,I.,3. Cổ phiếu quỹ,415,,(300.150.000),(300.150.000),,415.0,,-300150000.0,-300150000.0
I.,I.,I.,4. Quỹ đầu tư phát triển,418,,131.972.384.482,-,,418.0,,131972384482.0,
I.,I.,I.,5. Lợi nhuận sau thuế chưa phân phối,421,,1.489.960.598.848,1.315.078.342.245,,421.0,,1489960598848.0,1315078342245.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,421a,,941.138.393.299,577.807.675.264,,,,941138393299.0,577807675264.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,548.822.205.549,737.270.666.981,,,,548822205549.0,737270666981.0
I.,I.,I.,6. Lợi ích cổ đông không kiểm soát,429,,201.704.757.322,187.335.847.504,,429.0,,201704757322.0,187335847504.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,8.528.157.826.209,7.945.404.240.874,,440.0,,8528157826209.0,7945404240874.0
