row_label_raw,row_label_full,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,Lợi ích của cổ đông không kiểm soát,Tổng công,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng công
VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,
1.246.198.090.000,VND > 1.246.198.090.000,1.246.198.090.000,7.652.995.729,(300.150.000),-,954.159.363.225,2.207.710.298.954,158.474.288.901,2.366.184.587.855,7652995729.0,-300150000.0,,954159363225.0,2207710298954.0,158474288901.0,2366184587855.0
-,VND > -,-,-,-,-,827.701.610.355,827.701.610.355,54.371.121.124,882.072.731.479,,,,827701610355.0,827701610355.0,54371121124.0,882072731479.0
-,VND > -,-,-,-,-,(373.769.382.000),(373.769.382.000),(19.993.529.500),(393.762.911.500),,,,-373769382000.0,-373769382000.0,-19993529500.0,-393762911500.0
-,-,-,-,-,,,-,-,-,,,,,,,
-,- > -,-,-,-,-,(85.603.602.749),(85.603.602.749),(5.322.621.574),(90.926.224.323),,,,-85603602749.0,-85603602749.0,-5322621574.0,-90926224323.0
-,- > -,-,-,-,-,(2.582.305.961),(2.582.305.961),-,(2.582.305.961),,,,-2582305961.0,-2582305961.0,,-2582305961.0
-,- > -,-,-,-,-,(4.827.340.625),(4.827.340.625),(193.411.447),(5.020.752.072),,,,-4827340625.0,-4827340625.0,-193411447.0,-5020752072.0
1.246.198.090.000,- > 1.246.198.090.000,1.246.198.090.000,7.652.995.729,(300.150.000),-,1.315.078.342.245,2.568.629.277.974,187.335.847.504,2.755.965.125.478,7652995729.0,-300150000.0,,1315078342245.0,2568629277974.0,187335847504.0,2755965125478.0
-,- > -,-,-,-,-,918.091.637.496,918.091.637.496,92.486.704.525,1.010.578.342.021,,,,918091637496.0,918091637496.0,92486704525.0,1010578342021.0
-,- > -,-,-,-,-,(386.228.182.000),(386.228.182.000),(45.699.496.000),(431.927.678.000),,,,-386228182000.0,-386228182000.0,-45699496000.0,-431927678000.0
124.588.000.000,- > 124.588.000.000,124.588.000.000,-,-,-,(124.588.000.000),-,-,-,,,,-124588000000.0,,,
-,- > -,-,-,-,-,(99.651.672.838),(99.651.672.838),(8.068.367.764),(107.720.040.602),,,,-99651672838.0,-99651672838.0,-8068367764.0,-107720040602.0
-,- > -,-,-,-,131.972.384.482,(131.972.384.482),-,,,,,131972384482.0,-131972384482.0,,,
-,- > -,-,-,-,-,-,-,(22.392.778.065),(22.392.778.065),,,,,,-22392778065.0,-22392778065.0
-,- > -,-,-,-,-,(769.141.573),(769.141.573),(1.957.152.878),(2.726.294.451),,,,-769141573.0,-769141573.0,-1957152878.0,-2726294451.0
1.370.786.090.000,- > 1.370.786.090.000,1.370.786.090.000,7.652.995.729,(300.150.000),131.972.384.482,1.489.960.598.848,3.000.071.919.059,201.704.757.322,3.201.776.676.381,7652995729.0,-300150000.0,131972384482.0,1489960598848.0,3000071919059.0,201704757322.0,3201776676381.0
