row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,6.693.694.162.232,5.580.401.055.231,1.0,24.0,6693694162232.0,5580401055231.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,24,27.226.010.566,12.660.258.636,2.0,24.0,27226010566.0,12660258636.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,6.666.468.151.666,5.567.740.796.595,10.0,,6666468151666.0,5567740796595.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,25,3.555.106.661.984,2.919.474.384.643,11.0,25.0,3555106661984.0,2919474384643.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,3.111.361.489.682,2.648.266.411.952,20.0,,3111361489682.0,2648266411952.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,162.661.202.245,65.549.140.411,21.0,27.0,162661202245.0,65549140411.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,28,154.892.015.179,84.873.618.113,22.0,28.0,154892015179.0,84873618113.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,150.789.690.933,66.726.228.145,23.0,,150789690933.0,66726228145.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,593.914.795.407,530.325.251.116,25.0,,593914795407.0,530325251116.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,,1.335.790.764.247,1.063.831.278.614,26.0,,1335790764247.0,1063831278614.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.189.425.117.094,1.034.785.404.520,30.0,,1189425117094.0,1034785404520.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,7.609.927.914,8.684.601.280,31.0,,7609927914.0,8684601280.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,4.278.912.737,3.123.269.736,32.0,,4278912737.0,3123269736.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,3.331.015.177,5.561.331.544,40.0,,3331015177.0,5561331544.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.192.756.132.271,1.040.346.736.064,50.0,,1192756132271.0,1040346736064.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,29,165.468.733.057,125.558.578.112,51.0,29.0,165468733057.0,125558578112.0
16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,29,16.709.057.193,32.715.426.473,52.0,29.0,16709057193.0,32715426473.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.010.578.342.021,882.072.731.479,60.0,,1010578342021.0,882072731479.0
17.1. Lợi nhuận sau thuế của công ty mẹ,17.1. Lợi nhuận sau thuế của công ty mẹ,17.1. Lợi nhuận sau thuế của công ty mẹ,61,,918.091.637.496,827.701.610.355,61.0,,918091637496.0,827701610355.0
17.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,17.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,17.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,92.486.704.525,54.371.121.124,62.0,,92486704525.0,54371121124.0
18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,70,30,5.972,5.415,70.0,30.0,5972.0,5415.0
