row_label_raw,row_label_full,col_0,Tài sản tài chính,Tài sản tài chính_1,Tài sản tài chính_2,Tài sản tài chính_3,Tài sản tài chính_4,numeric__Tài sản tài chính,numeric__Tài sản tài chính_1,numeric__Tài sản tài chính_2,numeric__Tài sản tài chính_3,numeric__Tài sản tài chính_4
,,,Kinh doanh,Giữ đến ngàyđáo hạn,Cho vay và các khoản phải thu,Sẵn sàng để bán,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.003.577,-,-,-,5.003.577,5003577.0,,,,5003577.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,11.892.122,-,-,-,11.892.122,11892122.0,,,,11892122.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,67.516.251,-,67.516.251,,,67516251.0,,67516251.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.200.074,-,-,-,3.200.074,3200074.0,,,,3200074.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,533.102.761,-,533.102.761,,,533102761.0,,533102761.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,-,12.928.649,-,107.619.612,120.548.261,,12928649.0,,107619612.0,120548261.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,561.974,561.974,,,,561974.0,561974.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,-,-,1.137.342,-,1.137.342,,,1137342.0,,1137342.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,-,12.733.323,-,12.733.323,,,12733323.0,,12733323.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,-,-,123.935,-,123.935,,,123935.0,,123935.0
,,,20.095.773,12.928.649,614.613.612,108.181.586,755.819.620,20095773.0,12928649.0,614613612.0,108181586.0,755819620.0
