row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014,numeric__31/12/2015,numeric__31/12/2014
,,,Triệu VND,Triệu VND,,
Vay Ngân hàng Nhà nước,Vay Ngân hàng Nhà nước,Vay Ngân hàng Nhà nước,13.205.353,4.731.118,13205353.0,4731118.0
Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,3.147.931,1.204.134,3147931.0,1204134.0
"Vay chiết khấu, tái chiết khấu giấy tờ có giá (*)","Vay chiết khấu, tái chiết khấu giấy tờ có giá (*)","Vay chiết khấu, tái chiết khấu giấy tờ có giá (*)",10.039.754,3.499.384,10039754.0,3499384.0
Vay hỗ trợ các doanh nghiệp Nhà nước,Vay hỗ trợ các doanh nghiệp Nhà nước,Vay hỗ trợ các doanh nghiệp Nhà nước,12.472,12.472,12472.0,12472.0
Vay khác,Vay khác,Vay khác,5.196,15.128,5196.0,15128.0
Tiền gửi thanh toán của Kho bạc Nhà nước,Tiền gửi thanh toán của Kho bạc Nhà nước,Tiền gửi thanh toán của Kho bạc Nhà nước,165,285,165.0,285.0
- Bằng VND,- Bằng VND,- Bằng VND,157,281,157.0,281.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,8,4,8.0,4.0
,,,13.205.518,4.731.403,13205518.0,4731403.0
