row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2015,31/12/2014 Trình bày lại,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014 Trình bày lại
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,19,13.205.518,4.731.403,,19.0,13205518.0,4731403.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,20,98.788.429,103.770.035,,20.0,98788429.0,103770035.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,43.018.560,42.040.406,,,43018560.0,42040406.0
2.,B. > 2.,2.,Vay các TCTD khác,,55.769.869,61.729.629,,,55769869.0,61729629.0
III.,B. > III.,III.,Tiền gửi của khách hàng,21,492.566.502,424.241.062,,21.0,492566502.0,424241062.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,117.619,415.778,,9.0,117619.0,415778.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",22,55.131.061,32.729.590,,22.0,55131061.0,32729590.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,23,20.860.497,5.294.073,,23.0,20860497.0,5294073.0
VII.,B. > VII.,VII.,Các khoản nợ khác,,41.746.355,34.969.462,,,41746355.0,34969462.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,5.844.004,5.689.492,,,5844004.0,5689492.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,24,35.902.351,29.279.970,,24.0,35902351.0,29279970.0
TỔNG NỘ PHẢI TRẢ,B. > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,722.415.981,606.151.403,,,722415981.0,606151403.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,26,54.933.977,54.180.569,,26.0,54933977.0,54180569.0
1.,B. > 1.,1.,Vốn của TCTD,,46.203.873,46.203.873,,,46203873.0,46203873.0
a.,B. > a.,a.,Vốn điều lệ,,37.234.046,37.234.046,,,37234046.0,37234046.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,8.969.827,8.969.827,,,8969827.0,8969827.0
2.,B. > 2.,2.,Quỹ của TCTD,,5.044.907,4.192.978,,,5044907.0,4192978.0
3.,B. > 3.,3.,Lợi nhuận sau thuế chưa phân phối,,3.685.197,3.783.718,,,3685197.0,3783718.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,777.349.958,660.331.972,,,777349958.0,660331972.0
