row_label_raw,row_label_full,col_0,2015,2014Trình bày lại,numeric__2015,numeric__2014Trình bày lại
,,,Triệu VND,Triệu VND,,
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,7.263.517,7.166.194,7263517.0,7166194.0
Điều chỉnh cho các khoản- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,Điều chỉnh cho các khoản- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,Điều chỉnh cho các khoản- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,(332.029),(307.419),-332029.0,-307419.0
- (Hoàn nhập) dự phòng giảm giá đầu tư dài hạn,- (Hoàn nhập) dự phòng giảm giá đầu tư dài hạn,- (Hoàn nhập) dự phòng giảm giá đầu tư dài hạn,-,(104.623),,-104623.0
- Khác,- Khác,- Khác,53.927,59.386,53927.0,59386.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,6.985.415,6.813.538,6985415.0,6813538.0
Thuế suất thuế TNDN,Thuế suất thuế TNDN,Thuế suất thuế TNDN,22%,22%,0.22,0.22
Chi phí thuế TNDN tính trên thu nhập chịu thuế trong nước,Chi phí thuế TNDN tính trên thu nhập chịu thuế trong nước,Chi phí thuế TNDN tính trên thu nhập chịu thuế trong nước,1.536.791,1.498.978,1536791.0,1498978.0
Chi phí thuế TNDN tính trên thu nhập chịu thuế ở nước ngoài,Chi phí thuế TNDN tính trên thu nhập chịu thuế ở nước ngoài,Chi phí thuế TNDN tính trên thu nhập chịu thuế ở nước ngoài,8.635,12.726,8635.0,12726.0
Tổng chi phí thuế TNDN,Tổng chi phí thuế TNDN,Tổng chi phí thuế TNDN,1.545.426,1.511.704,1545426.0,1511704.0
