row_label_raw,row_label_full,col_0,col_1,2015,2014Trình bày lại,numeric__col_1,numeric__2015,numeric__2014Trình bày lại
I.,I.,I.,"Tổng số cán bộ, công nhân viên (người) (*)",20.079,19.059,,20079.0,19059.0
II.,II.,II.,"Thu nhập của cán bộ, công nhân viên (triệu đồng)",,,,,
,,,1. Tổng quỹ lương,4.566.449,4.376.182,,4566449.0,4376182.0
,,,2. Tiền thường,-,-,,,
,,,3. Thu nhập khác,139.837,135.210,,139837.0,135210.0
,,,4. Tổng thu nhập (1+2+3),4.706.286,4.511.392,,4706286.0,4511392.0
,,,5. Tiền lương bình quân tháng (**),"19,57","19,28",,19.57,19.28
,,,6. Thu nhập bình quân tháng (**),"20,17","19,88",,20.17,19.88
