row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014Trình bày lại,numeric__31/12/2015,numeric__31/12/2014Trình bày lại
,,,Triệu VND,Triệu VND,,
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",31.214.244,24.682.552,31214244.0,24682552.0
Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,44.055,315.624,44055.0,315624.0
Thuế TNDN phải trả,Thuế TNDN phải trả,Thuế TNDN phải trả,125.074,132.002,125074.0,132002.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,851.781,598.326,851781.0,598326.0
Điều chuyển vốn chờ thanh toán,Điều chuyển vốn chờ thanh toán,Điều chuyển vốn chờ thanh toán,13.727,-,13727.0,
Phải trả thuế khác,Phải trả thuế khác,Phải trả thuế khác,73.211,224.620,73211.0,224620.0
Phải trả Bảo hiểm tiền gửi,Phải trả Bảo hiểm tiền gửi,Phải trả Bảo hiểm tiền gửi,-,82.539,,82539.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,79.484,75.614,79484.0,75614.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,7.799,10.085,7799.0,10085.0
Thanh toán khác với các tổ chức khác,Thanh toán khác với các tổ chức khác,Thanh toán khác với các tổ chức khác,-,12.692,,12692.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,76.101,137.512,76101.0,137512.0
Phải trả cho nhà thầu xây dựng,Phải trả cho nhà thầu xây dựng,Phải trả cho nhà thầu xây dựng,79.139,107.063,79139.0,107063.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,416.575,207.692,416575.0,207692.0
,,,32.981.190,26.586.321,32981190.0,26586321.0
