row_label_raw,row_label_full,Khoản mục trên Bảng cân đối kế toán,Số đã báo cáo trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày31/12/2014,Số đã báo cáo trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày31/12/2014 > Điều chỉnhTriệu VND,Trình bày lại trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND,Trình bày lại trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND_1,numeric__Số đã báo cáo trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày31/12/2014,numeric__Số đã báo cáo trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày31/12/2014 > Điều chỉnhTriệu VND,numeric__Trình bày lại trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND,numeric__Trình bày lại trên báo cáo tài chính riêng cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND_1
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(4.309.771),(20.554),(4.330.325),,-4309771.0,-20554.0,-4330325.0,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,4.769.115,22.819,4.791.934,,4769115.0,22819.0,4791934.0,
Hao mòn TSCĐ vô hình,Hao mòn TSCĐ vô hình,Hao mòn TSCĐ vô hình,(625.813),(899),(626.712),,-625813.0,-899.0,-626712.0,
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,9.841.414,106.814,9.948.228,,9841414.0,106814.0,9948228.0,
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",12.619.762,(7.782),12.611.980,,12619762.0,-7782.0,12611980.0,
Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,-,(158),(158),,,-158.0,-158.0,
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,29.200.482,79.488,29.279.970,,29200482.0,79488.0,29279970.0,
Quỹ của TCTD,Quỹ của TCTD,Quỹ của TCTD,4.100.651,92.327,4.192.978,,4100651.0,92327.0,4192978.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,3.855.293,(71.575),3.783.718,,3855293.0,-71575.0,3783718.0,
