row_label_raw,row_label_full,col_0,2015,2014Trình bày lại,numeric__2015,numeric__2014Trình bày lại
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.970.441,3.688.571,3970441.0,3688571.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,2.588.874,1.182.972,2588874.0,1182972.0
"Thu nhập từ chuyển nhượng, thanh lý tài sản (*)","Thu nhập từ chuyển nhượng, thanh lý tài sản (*)","Thu nhập từ chuyển nhượng, thanh lý tài sản (*)",41.865,2.108.080,41865.0,2108080.0
Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,936.562,174.943,936562.0,174943.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,403.140,222.576,403140.0,222576.0
Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,1.873.309,2.330.066,1873309.0,2330066.0
Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,1.044.392,192.586,1044392.0,192586.0
"Chi phí từ chuyển nhượng, thanh lý tài sản (*)","Chi phí từ chuyển nhượng, thanh lý tài sản (*)","Chi phí từ chuyển nhượng, thanh lý tài sản (*)",18.286,1.143.759,18286.0,1143759.0
Chi phí khác,Chi phí khác,Chi phí khác,810.631,993.721,810631.0,993721.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,2.097.132,1.358.505,2097132.0,1358505.0
