row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,Khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,numeric__Khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 01/01/2015,Nguyên giá > Tại ngày 01/01/2015,Tại ngày 01/01/2015,4.151.501,4.044.601,848.388,187.067,9.231.557,4151501.0,4044601.0,848388.0,187067.0,9231557.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,106.864,137.806,111.449,10.592,366.711,106864.0,137806.0,111449.0,10592.0,366711.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,92.295,2.420,2.691,762,98.168,92295.0,2420.0,2691.0,762.0,98168.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,6.298,1.775,3.261,8.263,19.597,6298.0,1775.0,3261.0,8263.0,19597.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.658),44.569,8.902,(53.471),(1.658),-1658.0,44569.0,8902.0,-53471.0,-1658.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(38.847),(18.490),(14.437),(1.553),(73.327),-38847.0,-18490.0,-14437.0,-1553.0,-73327.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(15.187),(22.547),(7.937),(338),(46.009),-15187.0,-22547.0,-7937.0,-338.0,-46009.0
Tại ngày 31/12/2015,Nguyên giá > Tại ngày 31/12/2015,Tại ngày 31/12/2015,4.301.266,4.190.134,952.317,151.322,9.595.039,4301266.0,4190134.0,952317.0,151322.0,9595039.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Tại ngày 01/01/2015,Giá trị hao mòn lũy kế > Tại ngày 01/01/2015,Tại ngày 01/01/2015,960.915,2.968.745,562.956,115.163,4.607.779,960915.0,2968745.0,562956.0,115163.0,4607779.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,218.356,418.467,96.168,21.962,754.953,218356.0,418467.0,96168.0,21962.0,754953.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,755,349,478,69,1.651,755.0,349.0,478.0,69.0,1651.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(350),27.850,5.068,(32.918),(350),-350.0,27850.0,5068.0,-32918.0,-350.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.877),(17.630),(14.281),(1.553),(37.341),-3877.0,-17630.0,-14281.0,-1553.0,-37341.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(5.762),(15.500),(3.857),(525),(25.644),-5762.0,-15500.0,-3857.0,-525.0,-25644.0
Tại ngày 31/12/2015,Giá trị hao mòn lũy kế > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.170.037,3.382.281,646.532,102.198,5.301.048,1170037.0,3382281.0,646532.0,102198.0,5301048.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 31/12/2015,Giá trị còn lại > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.131.229,807.853,305.785,49.124,4.293.991,3131229.0,807853.0,305785.0,49124.0,4293991.0
Tại ngày 31/12/2014,Giá trị còn lại > Tại ngày 31/12/2014,Tại ngày 31/12/2014,3.190.586,1.075.856,285.432,71.904,4.623.778,3190586.0,1075856.0,285432.0,71904.0,4623778.0
