row_label_raw,row_label_full,col_0,Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2015,Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2014,numeric__Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2015,numeric__Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2014
Bắt động sản,Bắt động sản,Bắt động sản,565.630.627,479.034.313,565630627.0,479034313.0
Động sản,Động sản,Động sản,40.860.629,29.513.639,40860629.0,29513639.0
Chứng từ có giá,Chứng từ có giá,Chứng từ có giá,109.753.307,64.205.314,109753307.0,64205314.0
Tài sản khác,Tài sản khác,Tài sản khác,345.878.561,266.837.457,345878561.0,266837457.0
,,,1.062.123.124,839.590.723,1062123124.0,839590723.0
