row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2015,31/12/2014 Trình bày lại,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014 Trình bày lại
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng bạc, đá quý",5,5.003.577,4.598.290,,5.0,5003577.0,4598290.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (NHNN),6,11.892.122,9.876.030,,6.0,11892122.0,9876030.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,67.516.251,75.770.178,,7.0,67516251.0,75770178.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,65.491.767,67.097.386,,,65491767.0,67097386.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,2.024.484,8.672.792,,,2024484.0,8672792.0
3.,3.,3.,Dự phòng rủi ro,,-,-,,,,
IV.,3. > IV.,IV.,Chứng khoán kinh doanh,8,3.200.074,3.595.310,,8.0,3200074.0,3595310.0
1.,3. > 1.,1.,Chứng khoán kinh doanh,,3.200.074,3.595.310,,,3200074.0,3595310.0
V.,3. > V.,V.,Cho vay khách hàng,,528.619.924,433.934.339,,,528619924.0,433934339.0
1.,3. > 1.,1.,Cho vay khách hàng,10,533.102.761,438.264.664,,10.0,533102761.0,438264664.0
2.,3. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(4.482.837),(4.330.325),,11.0,-4482837.0,-4330325.0
VI.,3. > VI.,VI.,Chứng khoán đầu tư,,118.713.394,92.047.032,,,118713394.0,92047032.0
1.,3. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,12,107.619.612,85.964.781,,12.0,107619612.0,85964781.0
2.,3. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,12,12.928.649,6.708.858,,12.0,12928649.0,6708858.0
3.,3. > 3.,3.,Dự phòng giảm giá chứng khoán đầu tư,13,(1.834.867),(626.607),,13.0,-1834867.0,-626607.0
VII.,3. > VII.,VII.,"Góp vốn, đầu tư dài hạn",14,7.247.451,5.771.885,,14.0,7247451.0,5771885.0
1.,3. > 1.,1.,Đầu tư vào công ty con,,4.600.882,3.317.232,,,4600882.0,3317232.0
2.,3. > 2.,2.,Vốn góp liên doanh,,2.088.788,2.088.788,,,2088788.0,2088788.0
3.,3. > 3.,3.,Đầu tư dài hạn khác,,561.974,440.136,,,561974.0,440136.0
4.,3. > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,,(4.193),(74.271),,,-4193.0,-74271.0
VIII.,3. > VIII.,VIII.,Tài sản cố định,,8.299.636,8.789.000,,,8299636.0,8789000.0
1.,3. > 1.,1.,Tài sản cố định hữu hình,15,4.293.991,4.623.778,,15.0,4293991.0,4623778.0
a.,3. > a.,a.,Nguyên giá TSCĐ,,9.595.039,9.231.557,,,9595039.0,9231557.0
b.,3. > b.,b.,Hao mòn TSCĐ,,(5.301.048),(4.607.779),,,-5301048.0,-4607779.0
2.,3. > 2.,2.,Tài sản cố định vô hình,16,4.005.645,4.165.222,,16.0,4005645.0,4165222.0
a.,3. > a.,a.,Nguyên giá TSCĐ,,4.788.369,4.791.934,,,4788369.0,4791934.0
b.,3. > b.,b.,Hao mòn TSCĐ,,(782.724),(626.712),,,-782724.0,-626712.0
IX.,3. > IX.,IX.,Tài sản Có khác,,26.857.529,25.949.908,,,26857529.0,25949908.0
1.,3. > 1.,1.,Các khoản phải thu,17,10.803.485,9.948.228,,17.0,10803485.0,9948228.0
2.,3. > 2.,2.,"Các khoản lãi, phí phải thu",,12.733.323,12.611.980,,,12733323.0,12611980.0
3.,3. > 3.,3.,Tài sản Có khác,18,3.320.879,3.389.858,,18.0,3320879.0,3389858.0
4.,3. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,,(158),(158),,,-158.0,-158.0
TỔNG TÀI SẢN CÓ,3. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,777.349.958,660.331.972,,,777349958.0,660331972.0
