row_label_raw,row_label_full,Khoản mục,Theo chế độ báo cáo tài chính cũ,Theo chế độ báo cáo tài chính mới,Ảnh hưởng của việc áp dụng Thông tư 49,numeric__Theo chế độ báo cáo tài chính cũ,numeric__Theo chế độ báo cáo tài chính mới,numeric__Ảnh hưởng của việc áp dụng Thông tư 49
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Không bao gồm số dư Thu từ nghiệp vụ bảo lãnh.,Bao gồm số dư Thu từ nghiệp vụ bảo lãnh.,Phân loại lại số dư Thu từ nghiệp vụ bảo lãnh từ Thu nhập từ hoạt động dịch vụ sang Thu nhập lãi và các khoản thu nhập tương tự theo hướng dẫn của Thông tư 49.,,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Bao gồm số dư Thu từ nghiệp vụ bảo lãnh.,Không bao gồm số dư Thu từ nghiệp vụ bảo lãnh.,Phân loại lại số dư Thu từ nghiệp vụ bảo lãnh từ Thu nhập từ hoạt động dịch vụ sang Thu nhập lãi và các khoản thu nhập tương tự theo hướng dẫn của Thông tư 49.,,,
