row_label_raw,row_label_full,col_0,(Không bao gồm dự phòng) > 31/12/2015,(Không bao gồm dự phòng) > 31/12/2014,Giá trị hợp lý > 31/12/2015,Giá trị hợp lý > 31/12/2014,numeric__(Không bao gồm dự phòng) > 31/12/2015,numeric__(Không bao gồm dự phòng) > 31/12/2014,numeric__Giá trị hợp lý > 31/12/2015,numeric__Giá trị hợp lý > 31/12/2014
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.003.577,4.598.290,5.003.577,4.598.290,5003577.0,4598290.0,5003577.0,4598290.0
Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tiền gửi tại Ngân hàng Nhà nước (NHNN),11.892.122,9.876.030,11.892.122,9.876.030,11892122.0,9876030.0,11892122.0,9876030.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,67.516.251,75.770.178,(*),(*),67516251.0,75770178.0,,
Chứng khoán kinh doanh - Chứng khoán nợ,Tài sản tài chính > Chứng khoán kinh doanh - Chứng khoán nợ,Chứng khoán kinh doanh - Chứng khoán nợ,3.200.074,3.595.310,(*),(*),3200074.0,3595310.0,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,(*),(*),,,,
Cho vay khách hàng,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Cho vay khách hàng,Cho vay khách hàng,533.102.761,438.264.664,(*),(*),533102761.0,438264664.0,,
Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,274.036,44.023,211.872,25.132,274036.0,44023.0,211872.0,25132.0
Chứng khoán đầu tư - Chứng khoán nợ,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,120.274.225,92.629.616,(*),(*),120274225.0,92629616.0,,
Đầu tư dài hạn khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Đầu tư dài hạn khác,Đầu tư dài hạn khác,561.974,440.136,(*),(*),561974.0,440136.0,,
Các khoản phải thu,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Các khoản phải thu,Các khoản phải thu,1.137.342,1.527.969,(*),(*),1137342.0,1527969.0,,
"Các khoản lãi, phí phải thu","Các công cụ tài chính phải sinh và các tài sản tài chính khác > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",12.733.323,12.611.980,(*),(*),12733323.0,12611980.0,,
Tài sản Có khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản Có khác,Tài sản Có khác,123.935,123.935,(*),(*),123935.0,123935.0,,
,,,755.819.620,639.482.131,,,755819620.0,639482131.0,,
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản nợ Chính phủ và NHNN,Công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,13.205.518,4.731.403,(*),(*),13205518.0,4731403.0,,
Tiền gửi và vay các TCTD khác,Công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,98.788.429,103.770.035,(*),(*),98788429.0,103770035.0,,
Tiền gửi của khách hàng,Công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,492.566.502,424.241.062,(*),(*),492566502.0,424241062.0,,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công nợ tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,117.619,415.778,(*),(*),117619.0,415778.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",55.131.061,32.729.590,(*),(*),55131061.0,32729590.0,,
Phát hành giấy tờ có giá,Công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,20.860.497,5.294.073,(*),(*),20860497.0,5294073.0,,
"Các khoản lãi, phí phải trả","Công nợ tài chính > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",5.844.004,5.689.492,(*),(*),5844004.0,5689492.0,,
Các khoản phải trả và công nợ khác,Công nợ tài chính > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,32.737.450,26.027.519,(*),(*),32737450.0,26027519.0,,
,,,719.251.080,602.898.952,,,719251080.0,602898952.0,,
